step,train/loss,train/num_tasks,train/grad_solver_cagrad,train/cagrad_c,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,0.6874593098958334,3.0,0.0,0.0,1,1,0.0,,,,,
2,0.6773681640625,3.0,0.0,0.0,1,2,0.0,,,,,
3,0.6715494791666666,3.0,0.0,0.0,1,3,0.0,,,,,
4,0.6586507161458334,3.0,0.0,0.0,1,4,0.0,,,,,
5,0.7159830729166666,3.0,0.0,0.0,1,5,0.0,,,,,
5,,,,,1,,1.0,0.6160076283075439,0.6613401901502741,0.6259273294958541,0.6555776015610918,0.009919701188310204
6,0.66705322265625,3.0,0.0,0.0,2,1,0.0,,,,,
7,0.6225992838541666,3.0,0.0,0.0,2,2,0.0,,,,,
8,0.6719156901041666,3.0,0.0,0.0,2,3,0.0,,,,,
9,0.6226399739583334,3.0,0.0,0.0,2,4,0.0,,,,,
10,0.638916015625,3.0,0.0,0.0,2,5,0.0,,,,,
10,,,,,2,,1.0,0.6160076283075439,0.6257683288492214,0.6251901086133789,0.6219675681013143,0.009182480305835017
11,0.615966796875,3.0,0.0,0.0,3,1,0.0,,,,,
12,0.6242777506510416,3.0,0.0,0.0,3,2,0.0,,,,,
13,0.5270945231119791,3.0,0.0,0.0,3,3,0.0,,,,,
14,0.6530202229817709,3.0,0.0,0.0,3,4,0.0,,,,,
15,0.5820414225260416,3.0,0.0,0.0,3,5,0.0,,,,,
15,,,,,3,,1.0,0.6565505404869124,0.6009891869274021,0.6497309065778166,0.5921869996646993,-0.00681963390909579
16,0.5711568196614584,3.0,0.0,0.0,4,1,0.0,,,,,
17,0.6010615030924479,3.0,0.0,0.0,4,2,0.0,,,,,
18,0.6699981689453125,3.0,0.0,0.0,4,3,0.0,,,,,
19,0.521209716796875,3.0,0.0,0.0,4,4,0.0,,,,,
20,0.52703857421875,3.0,0.0,0.0,4,5,0.0,,,,,
20,,,,,4,,1.0,0.6696306451250574,0.597040720868685,0.6694783887920345,0.5947482525920127,-0.00015225633302295982
21,0.617645263671875,3.0,0.0,0.0,5,1,0.0,,,,,
22,0.5810216267903646,3.0,0.0,0.0,5,2,0.0,,,,,
23,0.6202545166015625,3.0,0.0,0.0,5,3,0.0,,,,,
24,0.6520436604817709,3.0,0.0,0.0,5,4,0.0,,,,,
25,0.5760752360026041,3.0,0.0,0.0,5,5,0.0,,,,,
25,,,,,5,,1.0,0.6397050594521239,0.6453445464550167,0.6261809320927446,0.6331510151473542,-0.013524127359379245
26,0.6818949381510416,3.0,0.0,0.0,6,1,0.0,,,,,
27,0.6153564453125,3.0,0.0,0.0,6,2,0.0,,,,,
28,0.6440226236979166,3.0,0.0,0.0,6,3,0.0,,,,,
29,0.5510457356770834,3.0,0.0,0.0,6,4,0.0,,,,,
30,0.5780232747395834,3.0,0.0,0.0,6,5,0.0,,,,,
30,,,,,6,,1.0,0.6784037293028001,0.5794262082287759,0.6835652797084643,0.575479977123594,0.005161550405664128
31,0.5890706380208334,3.0,0.0,0.0,7,1,0.0,,,,,
32,0.5944976806640625,3.0,0.0,0.0,7,2,0.0,,,,,
33,0.6089121500651041,3.0,0.0,0.0,7,3,0.0,,,,,
34,0.5508880615234375,3.0,0.0,0.0,7,4,0.0,,,,,
35,0.54583740234375,3.0,0.0,0.0,7,5,0.0,,,,,
35,,,,,7,,1.0,0.6913156567677183,0.5567729564427527,0.6920360864495253,0.5532092664122401,0.0007204296818069666
36,0.5349833170572916,3.0,0.0,0.0,8,1,0.0,,,,,
37,0.4846089680989583,3.0,0.0,0.0,8,2,0.0,,,,,
38,0.4824422200520833,3.0,0.0,0.0,8,3,0.0,,,,,
39,0.6374638875325521,3.0,0.0,0.0,8,4,0.0,,,,,
40,0.45221710205078125,3.0,0.0,0.0,8,5,0.0,,,,,
40,,,,,8,,1.0,0.699076671914455,0.5542208924561516,0.7043814261991376,0.5433015048026792,0.005304754284682578
41,0.4601949055989583,3.0,0.0,0.0,9,1,0.0,,,,,
42,0.5543390909830729,3.0,0.0,0.0,9,2,0.0,,,,,
43,0.5192769368489584,3.0,0.0,0.0,9,3,0.0,,,,,
44,0.6483332316080729,3.0,0.0,0.0,9,4,0.0,,,,,
45,0.5351842244466146,3.0,0.0,0.0,9,5,0.0,,,,,
45,,,,,9,,1.0,0.7160759166328966,0.5417753613479889,0.7071356410689645,0.5351750274896893,-0.008940275563932065
46,0.5529352823893229,3.0,0.0,0.0,10,1,0.0,,,,,
47,0.5289433797200521,3.0,0.0,0.0,10,2,0.0,,,,,
48,0.50653076171875,3.0,0.0,0.0,10,3,0.0,,,,,
49,0.5745722452799479,3.0,0.0,0.0,10,4,0.0,,,,,
50,0.49888865152994794,3.0,0.0,0.0,10,5,0.0,,,,,
50,,,,,10,,1.0,0.7011667494996932,0.5420325763776369,0.7059225219799584,0.5349450015217432,0.0047557724802652634
