step,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,0.6744089424610138,27.0,74.0,0.36486486486486486,7.0,20.0,0.25925925925925924,0.7407407407407407,0.17627136132593135,0.0,0.6,0.0038053,1,1,0.0,,,,,,,,,,
2,0.7288329303264618,3.0,74.0,0.04054054054054054,1.0,2.0,0.3333333333333333,0.6666666666666666,0.1777768358326092,0.0,0.6,0.0038053,1,2,0.0,,,,,,,,,,
3,0.6774336248636246,18.0,74.0,0.24324324324324326,6.0,12.0,0.3333333333333333,0.6666666666666666,0.1746331476981943,0.0,0.6,0.0038053,1,3,0.0,,,,,,,,,,
4,0.6668677479028702,12.0,74.0,0.16216216216216217,3.0,9.0,0.25,0.75,0.1753542355709241,0.0,0.6,0.0038053,1,4,0.0,,,,,,,,,,
5,0.6823397874832153,19.0,74.0,0.25675675675675674,9.0,10.0,0.47368421052631576,0.5263157894736842,0.17325378523982649,0.0,0.6,0.0038053,1,5,0.0,,,,,,,,,,
6,0.6653144657611847,26.0,74.0,0.35135135135135137,9.0,17.0,0.34615384615384615,0.6538461538461539,0.17264938028274174,0.0,0.6,0.0038053,1,6,0.0,,,,,,,,,,
7,0.678438663482666,31.0,74.0,0.4189189189189189,12.0,19.0,0.3870967741935484,0.6129032258064516,0.1737422421376047,0.0,0.6,0.0038053,1,7,0.0,,,,,,,,,,
8,0.6862091571092606,29.0,74.0,0.3918918918918919,11.0,18.0,0.3793103448275862,0.6206896551724138,0.17314860279832597,0.0,0.6,0.0038053,1,8,0.0,,,,,,,,,,
9,0.7024956196546555,20.0,74.0,0.2702702702702703,5.0,15.0,0.25,0.75,0.1761292024465982,0.0,0.6,0.0038053,1,9,0.0,,,,,,,,,,
10,0.6573478281497955,25.0,74.0,0.33783783783783783,10.0,15.0,0.4,0.6,0.17303001171788326,0.0,0.6,0.0038053,1,10,0.0,,,,,,,,,,
