dataset,method_line,train.lr,train.warmup_ratio,train.epochs,train.batch_size,method.name,lora.r,grad_solver,cagrad.c,lora.R,lora.alpha,lora.dropout,routing_delta,tau_N,tau_D,gamma_pull,k_pull,votes,samples_per_vote,allow_tail,keep_single_votes,ema_H,compensation.enabled,compensation.ridge_lambda
deberta_mrpc,baseline_R,9.205119527810758e-05,0.03181818181818182,8,32,baseline_R,128,avg,0.4,,,,,,,,,,,,,,,
deberta_mrpc,baseline_r,8.000000000000003e-05,0.03636363636363637,8,32,baseline_r,32,avg,0.4,,,,,,,,,,,,,,,
deberta_mrpc,ours_R,0.00012187323031560669,0.0,8,32,ours,32,,,128.0,16.0,0.1,0.004999999999999999,0.6,0.008,0.3,8.0,4.0,4.0,True,True,1.0,True,0.0001
deberta_mrpc,ours_r,0.00012187323031560669,0.0,8,32,ours,32,,,128.0,16.0,0.1,0.004999999999999999,0.6,0.008,0.3,8.0,4.0,4.0,True,True,1.0,True,0.0001
deberta_rte,baseline_R,5.226812379867304e-05,0.0,8,32,baseline_R,128,avg,0.4,,,,,,,,,,,,,,,
deberta_rte,baseline_r,3.935514593087578e-05,0.04090909090909092,8,32,baseline_r,32,avg,0.4,,,,,,,,,,,,,,,
deberta_rte,ours_R,3.524330721078912e-05,0.0,8,32,ours,32,,,128.0,16.0,0.1,0.004999999999999999,0.6,0.005798652457006398,0.3375,9.25,4.0,4.0,True,True,1.0,True,0.0001
deberta_rte,ours_r,3.524330721078912e-05,0.0,8,32,ours,32,,,128.0,16.0,0.1,0.004999999999999999,0.6,0.005798652457006398,0.3375,9.25,4.0,4.0,True,True,1.0,True,0.0001
deberta_sst2,baseline_R,5.226812379867304e-05,0.09545454545454546,8,32,baseline_R,128,avg,0.4,,,,,,,,,,,,,,,
deberta_sst2,baseline_r,8.000000000000003e-05,0.06818181818181819,8,32,baseline_r,32,avg,0.4,,,,,,,,,,,,,,,
deberta_sst2,ours_R,6.517584254897186e-05,0.15625,8,32,ours,32,,,128.0,16.0,0.1,0.0031622776601683794,0.6,0.0021278112754879066,0.3,6.571428571428571,4.0,4.0,True,True,1.0,True,0.0001
deberta_sst2,ours_r,6.517584254897186e-05,0.15625,8,32,ours,32,,,128.0,16.0,0.1,0.0031622776601683794,0.6,0.0021278112754879066,0.3,6.571428571428571,4.0,4.0,True,True,1.0,True,0.0001
roberta_mrpc,baseline_R,3.935514593087578e-05,0.12272727272727274,8,32,baseline_R,128,avg,0.4,,,,,,,,,,,,,,,
roberta_mrpc,baseline_r,4.535437839536398e-05,0.04545454545454546,8,32,baseline_r,32,avg,0.4,,,,,,,,,,,,,,,
roberta_mrpc,ours_R,2.339214190570292e-05,0.028571428571428574,10,32,ours,32,,,128.0,16.0,0.1,0.004999999999999999,0.6,0.003391477200000001,0.3,8.75,4.0,4.0,True,True,1.0,True,0.0001
roberta_mrpc,ours_r,2.339214190570292e-05,0.028571428571428574,10,32,ours,32,,,128.0,16.0,0.1,0.004999999999999999,0.6,0.003391477200000001,0.3,8.75,4.0,4.0,True,True,1.0,True,0.0001
roberta_rte,baseline_R,2.963235330975938e-05,0.08181818181818183,8,32,baseline_R,128,avg,0.4,,,,,,,,,,,,,,,
roberta_rte,baseline_r,3.935514593087578e-05,0.17272727272727273,8,32,baseline_r,32,avg,0.4,,,,,,,,,,,,,,,
roberta_rte,ours_R,2.8712653020942878e-05,0.04285714285714286,8,32,ours,32,,,128.0,16.0,0.1,0.012599210498948734,0.6,0.0018937347867548518,0.3,7.428571428571429,4.0,4.0,True,True,1.0,True,0.0001
roberta_rte,ours_r,2.8712653020942878e-05,0.04285714285714286,8,32,ours,32,,,128.0,16.0,0.1,0.012599210498948734,0.6,0.0018937347867548518,0.3,7.428571428571429,4.0,4.0,True,True,1.0,True,0.0001
roberta_sst2,baseline_R,6.941803164017966e-05,0.09545454545454546,8,32,baseline_R,128,avg,0.4,,,,,,,,,,,,,,,
roberta_sst2,baseline_r,3.935514593087578e-05,0.01363636363636364,8,32,baseline_r,32,avg,0.4,,,,,,,,,,,,,,,
roberta_sst2,ours_R,3.524330721078912e-05,0.19374999999999998,8,32,ours,32,,,128.0,16.0,0.1,0.004999999999999999,0.6,0.0052088211334235714,0.3,6.857142857142857,4.0,4.0,True,True,1.0,True,0.0001
roberta_sst2,ours_r,3.524330721078912e-05,0.19374999999999998,8,32,ours,32,,,128.0,16.0,0.1,0.004999999999999999,0.6,0.0052088211334235714,0.3,6.857142857142857,4.0,4.0,True,True,1.0,True,0.0001
