step,train/loss,train/num_tasks,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,0.679663489262263,3.0,38.0,74.0,0.5135135135135135,0.0,38.0,0.0,1.0,0.17655373439907351,0.0,0.6,0.0038053,1,1,0.0,,,,,,,,,,
2,0.6810313115517297,3.0,46.0,74.0,0.6216216216216216,1.0,45.0,0.021739130434782608,0.9782608695652174,0.1756227607788227,0.0,0.6,0.0038053,1,2,0.0,,,,,,,,,,
3,0.6815054366985956,3.0,48.0,74.0,0.6486486486486487,0.0,48.0,0.0,1.0,0.17554695695473865,0.0,0.6,0.0038053,1,3,0.0,,,,,,,,,,
4,0.6513622055451075,3.0,41.0,74.0,0.5540540540540541,0.0,41.0,0.0,1.0,0.1746150769864625,0.0,0.6,0.0038053,1,4,0.0,,,,,,,,,,
5,0.6795111844937006,3.0,15.0,74.0,0.20270270270270271,0.0,15.0,0.0,1.0,0.17465439088335724,0.0,0.6,0.0038053,1,5,0.0,,,,,,,,,,
6,0.673442746202151,3.0,9.0,74.0,0.12162162162162163,0.0,9.0,0.0,1.0,0.17475328179174318,0.0,0.6,0.0038053,1,6,0.0,,,,,,,,,,
7,0.678659424185753,3.0,13.0,74.0,0.17567567567567569,0.0,13.0,0.0,1.0,0.1762116311022841,0.0,0.6,0.0038053,1,7,0.0,,,,,,,,,,
7,,,,,,,,,,,,,,1,,1.0,0.6160076283075439,0.6583261118361876,0.6160076283075439,0.658304903574232,0.6257299008075176,0.6534155720003012,0.009722272499973705,0.6261393049998165,0.6532632074050891,0.010131676692272662
8,0.6357106169064839,3.0,33.0,74.0,0.44594594594594594,0.0,33.0,0.0,1.0,0.1749666425803115,0.0,0.6,0.0038053,2,1,0.0,,,,,,,,,,
9,0.6351046065489452,3.0,32.0,74.0,0.43243243243243246,0.0,32.0,0.0,1.0,0.1757284834700508,0.0,0.6,0.0038053,2,2,0.0,,,,,,,,,,
10,0.6037338227033614,3.0,16.0,74.0,0.21621621621621623,0.0,16.0,0.0,1.0,0.17559005484523255,0.0,0.6,0.0038053,2,3,0.0,,,,,,,,,,
11,0.6172970036665597,3.0,20.0,74.0,0.2702702702702703,0.0,20.0,0.0,1.0,0.17426094407908363,0.0,0.6,0.0038053,2,4,0.0,,,,,,,,,,
12,0.6776761362950008,3.0,6.0,74.0,0.08108108108108109,0.0,6.0,0.0,1.0,0.17554506022085922,0.0,0.6,0.0038053,2,5,0.0,,,,,,,,,,
13,0.6251575226585071,3.0,7.0,74.0,0.0945945945945946,0.0,7.0,0.0,1.0,0.17381932283497986,0.0,0.6,0.0038053,2,6,0.0,,,,,,,,,,
14,0.6511912519733111,3.0,5.0,74.0,0.06756756756756757,0.0,5.0,0.0,1.0,0.17395351230957418,0.0,0.6,0.0038053,2,7,0.0,,,,,,,,,,
14,,,,,,,,,,,,,,2,,1.0,0.6160076283075439,0.6354647004459225,0.6160076283075439,0.6354170590060204,0.6257347941909591,0.6288651074445806,0.009727165883415267,0.6252070154531716,0.6293651677475278,0.009199387145627735
15,0.59122400979201,3.0,2.0,74.0,0.02702702702702703,0.0,2.0,0.0,1.0,0.1742835074759806,0.0,0.6,0.0038053,3,1,0.0,,,,,,,,,,
16,0.6478839914004008,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,3,2,0.0,,,,,,,,,,
17,0.6450250893831253,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,3,3,0.0,,,,,,,,,,
18,0.626420813302199,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,3,4,0.0,,,,,,,,,,
19,0.6579535901546478,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,3,5,0.0,,,,,,,,,,
20,0.6494632189472516,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,3,6,0.0,,,,,,,,,,
20,,,,,,,,,,,,,,3,,1.0,0.6160076283075439,0.6158611198852977,0.6160076283075439,0.6161760074568671,0.625250922569447,0.6101216373858114,0.009243294261903179,0.6259273294958541,0.6102439312206376,0.009919701188310204
