step,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,0.8482294082641602,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,1,0.0,,,,,,,,,,
2,0.7747332006692886,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,2,0.0,,,,,,,,,,
3,0.8392545878887177,11.0,74.0,0.14864864864864866,11.0,0.0,1.0,0.0,0.17663517070188386,0.0,0.6,0.0038053,1,3,0.0,,,,,,,,,,
4,0.8308271318674088,13.0,74.0,0.17567567567567569,13.0,0.0,1.0,0.0,0.17570712176783354,0.0,0.6,0.0038053,1,4,0.0,,,,,,,,,,
5,0.7823099792003632,16.0,74.0,0.21621621621621623,16.0,0.0,1.0,0.0,0.17521961245330855,0.0,0.6,0.0038053,1,5,0.0,,,,,,,,,,
6,0.8120822012424469,4.0,74.0,0.05405405405405406,4.0,0.0,1.0,0.0,0.17866124743429737,0.0,0.6,0.0038053,1,6,0.0,,,,,,,,,,
7,0.6661642268300056,10.0,74.0,0.13513513513513514,10.0,0.0,1.0,0.0,0.17623857042056312,0.0,0.6,0.0038053,1,7,0.0,,,,,,,,,,
8,0.6796522438526154,19.0,74.0,0.25675675675675674,19.0,0.0,1.0,0.0,0.1739227855365359,0.0,0.6,0.0038053,1,8,0.0,,,,,,,,,,
9,0.6892160326242447,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,9,0.0,,,,,,,,,,
10,0.74533312022686,19.0,74.0,0.25675675675675674,19.0,0.0,1.0,0.0,0.1749727700113524,0.0,0.6,0.0038053,1,10,0.0,,,,,,,,,,
11,0.7792180925607681,4.0,74.0,0.05405405405405406,4.0,0.0,1.0,0.0,0.1775967981838094,0.0,0.6,0.0038053,1,11,0.0,,,,,,,,,,
12,0.7185946404933929,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,12,0.0,,,,,,,,,,
13,0.694092720746994,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,13,0.0,,,,,,,,,,
14,0.6968132704496384,2.0,74.0,0.02702702702702703,2.0,0.0,1.0,0.0,0.17804239805646455,0.0,0.6,0.0038053,1,14,0.0,,,,,,,,,,
15,0.71137934923172,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,15,0.0,,,,,,,,,,
16,0.761809229850769,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,16,0.0,,,,,,,,,,
17,0.7156918942928314,3.0,74.0,0.04054054054054054,3.0,0.0,1.0,0.0,0.17458864703901622,0.0,0.6,0.0038053,1,17,0.0,,,,,,,,,,
18,0.6922259032726288,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,18,0.0,,,,,,,,,,
19,0.7149437367916107,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,19,0.0,,,,,,,,,,
20,0.6444201469421387,13.0,74.0,0.17567567567567569,13.0,0.0,1.0,0.0,0.1772160912573652,0.0,0.6,0.0038053,1,20,0.0,,,,,,,,,,
21,0.7238384783267975,2.0,74.0,0.02702702702702703,2.0,0.0,1.0,0.0,0.17490113923648093,0.0,0.6,0.0038053,1,21,0.0,,,,,,,,,,
22,0.7467598021030426,1.0,74.0,0.013513513513513514,1.0,0.0,1.0,0.0,0.18243680877143104,0.0,0.6,0.0038053,1,22,0.0,,,,,,,,,,
23,0.6594520658254623,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,23,0.0,,,,,,,,,,
24,0.7253313213586807,1.0,74.0,0.013513513513513514,1.0,0.0,1.0,0.0,0.18518079825178949,0.0,0.6,0.0038053,1,24,0.0,,,,,,,,,,
25,0.7077210545539856,1.0,74.0,0.013513513513513514,1.0,0.0,1.0,0.0,0.17935182474733688,0.0,0.6,0.0038053,1,25,0.0,,,,,,,,,,
26,0.7315662652254105,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,26,0.0,,,,,,,,,,
27,0.6743824779987335,2.0,74.0,0.02702702702702703,2.0,0.0,1.0,0.0,0.17827720180853468,0.0,0.6,0.0038053,1,27,0.0,,,,,,,,,,
28,0.7411836236715317,2.0,74.0,0.02702702702702703,2.0,0.0,1.0,0.0,0.18113080056861613,0.0,0.6,0.0038053,1,28,0.0,,,,,,,,,,
29,0.7085803896188736,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,29,0.0,,,,,,,,,,
30,0.6908950507640839,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,30,0.0,,,,,,,,,,
31,0.7185409069061279,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,31,0.0,,,,,,,,,,
32,0.6923815459012985,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,32,0.0,,,,,,,,,,
33,0.7586889564990997,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,33,0.0,,,,,,,,,,
34,0.6584665030241013,2.0,74.0,0.02702702702702703,2.0,0.0,1.0,0.0,0.1684438355824854,0.0,0.6,0.0038053,1,34,0.0,,,,,,,,,,
35,0.7006272524595261,2.0,74.0,0.02702702702702703,2.0,0.0,1.0,0.0,0.1819255725510322,0.0,0.6,0.0038053,1,35,0.0,,,,,,,,,,
36,0.7038856446743011,2.0,74.0,0.02702702702702703,2.0,0.0,1.0,0.0,0.1687634411934859,0.0,0.6,0.0038053,1,36,0.0,,,,,,,,,,
37,0.7002543658018112,4.0,74.0,0.05405405405405406,4.0,0.0,1.0,0.0,0.17309931823093355,0.0,0.6,0.0038053,1,37,0.0,,,,,,,,,,
38,0.6477602869272232,5.0,74.0,0.06756756756756757,5.0,0.0,1.0,0.0,0.17806826408386744,0.0,0.6,0.0038053,1,38,0.0,,,,,,,,,,
39,0.6906117349863052,3.0,74.0,0.04054054054054054,3.0,0.0,1.0,0.0,0.17260179765384728,0.0,0.6,0.0038053,1,39,0.0,,,,,,,,,,
40,0.6917033642530441,4.0,74.0,0.05405405405405406,4.0,0.0,1.0,0.0,0.1713240988248721,0.0,0.6,0.0038053,1,40,0.0,,,,,,,,,,
41,0.68350550532341,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,41,0.0,,,,,,,,,,
42,0.6791454255580902,1.0,74.0,0.013513513513513514,1.0,0.0,1.0,0.0,0.16619703601313898,0.0,0.6,0.0038053,1,42,0.0,,,,,,,,,,
43,0.7138351947069168,2.0,74.0,0.02702702702702703,2.0,0.0,1.0,0.0,0.17362794758535416,0.0,0.6,0.0038053,1,43,0.0,,,,,,,,,,
44,0.7211474776268005,1.0,74.0,0.013513513513513514,1.0,0.0,1.0,0.0,0.1695420068867732,0.0,0.6,0.0038053,1,44,0.0,,,,,,,,,,
45,0.69016033411026,4.0,74.0,0.05405405405405406,4.0,0.0,1.0,0.0,0.17509514814640847,0.0,0.6,0.0038053,1,45,0.0,,,,,,,,,,
46,0.6966557055711746,4.0,74.0,0.05405405405405406,4.0,0.0,1.0,0.0,0.17519146163557553,0.0,0.6,0.0038053,1,46,0.0,,,,,,,,,,
47,0.7138003259897232,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,47,0.0,,,,,,,,,,
48,0.6989041864871979,2.0,74.0,0.02702702702702703,2.0,0.0,1.0,0.0,0.181549588545142,0.0,0.6,0.0038053,1,48,0.0,,,,,,,,,,
