step,train/loss,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,0.747664749622345,1,1,0.0,,,,,
2,0.8077518939971924,1,2,0.0,,,,,
3,0.8085097074508667,1,3,0.0,,,,,
4,0.7480748295783997,1,4,0.0,,,,,
5,0.823776364326477,1,5,0.0,,,,,
6,0.7417393922805786,1,6,0.0,,,,,
7,0.927757740020752,1,7,0.0,,,,,
8,0.877587080001831,1,8,0.0,,,,,
9,0.7999261617660522,1,9,0.0,,,,,
10,0.7960717082023621,1,10,0.0,,,,,
11,0.7367417812347412,1,11,0.0,,,,,
12,0.7243266105651855,1,12,0.0,,,,,
13,0.8167005777359009,1,13,0.0,,,,,
14,0.7380039095878601,1,14,0.0,,,,,
15,0.6964958310127258,1,15,0.0,,,,,
16,0.7398506999015808,1,16,0.0,,,,,
17,0.6971944570541382,1,17,0.0,,,,,
18,0.6591483950614929,1,18,0.0,,,,,
19,0.674893319606781,1,19,0.0,,,,,
20,0.7475754022598267,1,20,0.0,,,,,
21,0.7081191539764404,1,21,0.0,,,,,
22,0.7282330989837646,1,22,0.0,,,,,
23,0.7155965566635132,1,23,0.0,,,,,
24,0.695498526096344,1,24,0.0,,,,,
25,0.7161999940872192,1,25,0.0,,,,,
26,0.6914463639259338,1,26,0.0,,,,,
27,0.7041965126991272,1,27,0.0,,,,,
28,0.7076376676559448,1,28,0.0,,,,,
29,0.6975155472755432,1,29,0.0,,,,,
30,0.7033709287643433,1,30,0.0,,,,,
31,0.6797698736190796,1,31,0.0,,,,,
32,0.7008744478225708,1,32,0.0,,,,,
33,0.6927065849304199,1,33,0.0,,,,,
34,0.6684421300888062,1,34,0.0,,,,,
35,0.692137598991394,1,35,0.0,,,,,
36,0.6823960542678833,1,36,0.0,,,,,
37,0.6473644375801086,1,37,0.0,,,,,
38,0.7315804958343506,1,38,0.0,,,,,
39,0.7689746618270874,1,39,0.0,,,,,
40,0.6981438398361206,1,40,0.0,,,,,
41,0.6783961057662964,1,41,0.0,,,,,
42,0.7409190535545349,1,42,0.0,,,,,
43,0.6673963069915771,1,43,0.0,,,,,
44,0.7130353450775146,1,44,0.0,,,,,
45,0.6880940198898315,1,45,0.0,,,,,
46,0.6761596202850342,1,46,0.0,,,,,
47,0.7216132283210754,1,47,0.0,,,,,
48,0.739280641078949,1,48,0.0,,,,,
49,0.7385541796684265,1,49,0.0,,,,,
50,0.6752102375030518,1,50,0.0,,,,,
51,0.670599102973938,1,51,0.0,,,,,
52,0.6988760232925415,1,52,0.0,,,,,
53,0.6876599788665771,1,53,0.0,,,,,
54,0.7131687998771667,1,54,0.0,,,,,
55,0.6892303228378296,1,55,0.0,,,,,
56,0.6939753890037537,1,56,0.0,,,,,
57,0.6894451975822449,1,57,0.0,,,,,
58,0.696984052658081,1,58,0.0,,,,,
59,0.6678758859634399,1,59,0.0,,,,,
60,0.6704984307289124,1,60,0.0,,,,,
61,0.6353493332862854,1,61,0.0,,,,,
