step,train/loss,val/acc,epoch,train/acc,gap/train_minus_val
1,0.846503496170044,,,,
2,0.7534335255622864,,,,
3,0.8711953163146973,,,,
4,0.8571067452430725,,,,
5,0.7784416079521179,,,,
6,0.8580256700515747,,,,
7,0.6413163542747498,,,,
8,0.7587530612945557,,,,
9,0.7901119589805603,,,,
10,0.722032368183136,,,,
11,0.7396900057792664,,,,
12,0.7758320569992065,,,,
13,0.7144277095794678,,,,
14,0.6936620473861694,,,,
15,0.6974787712097168,,,,
16,0.7205252051353455,,,,
17,0.7668935656547546,,,,
18,0.7535802125930786,,,,
19,0.7491635680198669,,,,
20,0.7021280527114868,,,,
21,0.7244670391082764,,,,
22,0.6840125918388367,,,,
23,0.7196946740150452,,,,
24,0.7251307964324951,,,,
25,0.6974437236785889,,,,
26,0.6893423199653625,,,,
27,0.7353547215461731,,,,
28,0.6970541477203369,,,,
29,0.6829143762588501,,,,
30,0.7156956195831299,,,,
31,0.6660499572753906,,,,
32,0.691433310508728,,,,
33,0.686834454536438,,,,
34,0.6973749995231628,,,,
35,0.7232828140258789,,,,
36,0.7413064241409302,,,,
37,0.695395290851593,,,,
38,0.6648141145706177,,,,
39,0.6778402924537659,,,,
40,0.691617488861084,,,,
41,0.6504408121109009,,,,
42,0.6891830563545227,,,,
43,0.6727004051208496,,,,
44,0.7122713327407837,,,,
45,0.639765202999115,,,,
46,0.6734071969985962,,,,
47,0.6888856887817383,,,,
48,0.7205299139022827,,,,
49,0.7199279069900513,,,,
50,0.795499324798584,,,,
51,0.7692811489105225,,,,
52,0.6585265398025513,,,,
53,0.6862781047821045,,,,
54,0.6949572563171387,,,,
55,0.6420719623565674,,,,
56,0.6787523031234741,,,,
57,0.7188481092453003,,,,
58,0.6962146162986755,,,,
59,0.7370065450668335,,,,
60,0.702577531337738,,,,
61,0.6979463696479797,,,,
62,0.685740053653717,,,,
63,0.7114436626434326,,,,
64,0.6218284368515015,,,,
65,0.7221555709838867,,,,
66,0.7751518487930298,,,,
67,0.6909767389297485,,,,
68,0.6339653730392456,,,,
69,0.7031954526901245,,,,
70,0.656398594379425,,,,
71,0.744243860244751,,,,
72,0.6201637387275696,,,,
73,0.6771936416625977,,,,
74,0.644546627998352,,,,
75,0.705261766910553,,,,
76,0.6595807075500488,,,,
77,0.6452733278274536,,,,
78,0.5848313570022583,,,,
78,,0.6209386281588448,1,0.6927710843373494,0.07183245617850453
79,0.5412747263908386,,,,
80,0.5613220930099487,,,,
81,0.6543313264846802,,,,
82,0.5414334535598755,,,,
83,0.6324273943901062,,,,
84,0.5944651365280151,,,,
85,0.7700613737106323,,,,
86,0.6512923240661621,,,,
87,0.7081345319747925,,,,
88,0.7013965845108032,,,,
89,0.6683945059776306,,,,
90,0.5002853274345398,,,,
91,0.6725866198539734,,,,
92,0.3964695334434509,,,,
93,0.6051276326179504,,,,
94,0.6733946204185486,,,,
95,0.4537132978439331,,,,
96,0.6247667074203491,,,,
97,0.680349588394165,,,,
98,0.4699023365974426,,,,
99,0.6805992722511292,,,,
100,0.7374017238616943,,,,
101,0.5004733800888062,,,,
102,0.6183403730392456,,,,
103,0.7084842324256897,,,,
104,0.6707930564880371,,,,
105,0.5979328155517578,,,,
106,0.6107522249221802,,,,
107,0.6516904830932617,,,,
108,0.6428115367889404,,,,
109,0.6696115732192993,,,,
