step,train/loss,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,0.7007032632827759,1,1,0.0,,,,,
2,0.7066286206245422,1,2,0.0,,,,,
3,0.6704288721084595,1,3,0.0,,,,,
4,0.7201976776123047,1,4,0.0,,,,,
5,0.7213470935821533,1,5,0.0,,,,,
6,0.6914286613464355,1,6,0.0,,,,,
7,0.7091972827911377,1,7,0.0,,,,,
8,0.6766467094421387,1,8,0.0,,,,,
9,0.6945503354072571,1,9,0.0,,,,,
10,0.6766213774681091,1,10,0.0,,,,,
11,0.7052679657936096,1,11,0.0,,,,,
12,0.6700571775436401,1,12,0.0,,,,,
13,0.6831424236297607,1,13,0.0,,,,,
14,0.7132272720336914,1,14,0.0,,,,,
15,0.7077019214630127,1,15,0.0,,,,,
16,0.6893684267997742,1,16,0.0,,,,,
17,0.695319414138794,1,17,0.0,,,,,
18,0.6940875053405762,1,18,0.0,,,,,
19,0.6747375726699829,1,19,0.0,,,,,
20,0.6947101354598999,1,20,0.0,,,,,
21,0.6975693702697754,1,21,0.0,,,,,
22,0.702599048614502,1,22,0.0,,,,,
23,0.6853068470954895,1,23,0.0,,,,,
24,0.7071038484573364,1,24,0.0,,,,,
25,0.6983675956726074,1,25,0.0,,,,,
26,0.6999508142471313,1,26,0.0,,,,,
27,0.6876049637794495,1,27,0.0,,,,,
28,0.7101328372955322,1,28,0.0,,,,,
29,0.6910314559936523,1,29,0.0,,,,,
30,0.67093825340271,1,30,0.0,,,,,
31,0.6919110417366028,1,31,0.0,,,,,
32,0.6981586217880249,1,32,0.0,,,,,
33,0.6978802680969238,1,33,0.0,,,,,
34,0.6865174770355225,1,34,0.0,,,,,
35,0.6707671880722046,1,35,0.0,,,,,
36,0.6849845051765442,1,36,0.0,,,,,
37,0.6889097690582275,1,37,0.0,,,,,
38,0.6787595152854919,1,38,0.0,,,,,
39,0.7017722725868225,1,39,0.0,,,,,
40,0.6743842959403992,1,40,0.0,,,,,
41,0.676444411277771,1,41,0.0,,,,,
42,0.6882944107055664,1,42,0.0,,,,,
43,0.7029107809066772,1,43,0.0,,,,,
44,0.6852543354034424,1,44,0.0,,,,,
45,0.7334998250007629,1,45,0.0,,,,,
46,0.6826503872871399,1,46,0.0,,,,,
47,0.6834902167320251,1,47,0.0,,,,,
48,0.7012647390365601,1,48,0.0,,,,,
49,0.701436460018158,1,49,0.0,,,,,
50,0.701560914516449,1,50,0.0,,,,,
51,0.6946983337402344,1,51,0.0,,,,,
52,0.6869757771492004,1,52,0.0,,,,,
53,0.6719563603401184,1,53,0.0,,,,,
54,0.6680738925933838,1,54,0.0,,,,,
55,0.681063175201416,1,55,0.0,,,,,
56,0.7178328037261963,1,56,0.0,,,,,
57,0.6954572200775146,1,57,0.0,,,,,
58,0.6761158108711243,1,58,0.0,,,,,
59,0.6999326944351196,1,59,0.0,,,,,
60,0.6682257652282715,1,60,0.0,,,,,
61,0.7062233686447144,1,61,0.0,,,,,
62,0.6521249413490295,1,62,0.0,,,,,
63,0.6480956673622131,1,63,0.0,,,,,
64,0.6735445261001587,1,64,0.0,,,,,
65,0.6456215977668762,1,65,0.0,,,,,
66,0.6629482507705688,1,66,0.0,,,,,
67,0.7098184823989868,1,67,0.0,,,,,
68,0.7461636066436768,1,68,0.0,,,,,
69,0.6653379797935486,1,69,0.0,,,,,
70,0.7160825729370117,1,70,0.0,,,,,
71,0.7152650356292725,1,71,0.0,,,,,
72,0.7088994979858398,1,72,0.0,,,,,
73,0.6851080060005188,1,73,0.0,,,,,
74,0.7024950385093689,1,74,0.0,,,,,
75,0.6975222826004028,1,75,0.0,,,,,
76,0.6952165365219116,1,76,0.0,,,,,
77,0.7182295322418213,1,77,0.0,,,,,
78,0.683404803276062,1,78,0.0,,,,,
78,,1,,1.0,0.6534296028880866,0.662134952015347,0.6562248995983936,0.6605409330282456,0.0027952967103069826
79,0.6681416630744934,2,1,0.0,,,,,
80,0.7261372804641724,2,2,0.0,,,,,
81,0.7156244516372681,2,3,0.0,,,,,
82,0.6571605205535889,2,4,0.0,,,,,
83,0.5991167426109314,2,5,0.0,,,,,
