step,train/loss,train/gate0_triggered_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6337277889251709,0.0,0.6,0.0038053,,,,,,,
2,0.8940070867538452,0.0,0.6,0.0038053,,,,,,,
3,0.9857982397079468,17.0,0.6,0.0038053,,,,,,,
4,0.7002938985824585,0.0,0.6,0.0038053,,,,,,,
5,0.8981246948242188,0.0,0.6,0.0038053,,,,,,,
6,0.9007744193077087,0.0,0.6,0.0038053,,,,,,,
7,0.8401691913604736,0.0,0.6,0.0038053,,,,,,,
8,0.8538728952407837,0.0,0.6,0.0038053,,,,,,,
9,0.827134907245636,0.0,0.6,0.0038053,,,,,,,
10,0.6962008476257324,0.0,0.6,0.0038053,,,,,,,
11,0.6714413166046143,0.0,0.6,0.0038053,,,,,,,
12,0.9432937502861023,0.0,0.6,0.0038053,,,,,,,
13,0.6173720955848694,0.0,0.6,0.0038053,,,,,,,
14,0.6679133176803589,0.0,0.6,0.0038053,,,,,,,
15,0.7876023054122925,0.0,0.6,0.0038053,,,,,,,
16,0.8172892332077026,0.0,0.6,0.0038053,,,,,,,
17,0.7205780744552612,0.0,0.6,0.0038053,,,,,,,
18,0.6340710520744324,0.0,0.6,0.0038053,,,,,,,
19,0.684531569480896,0.0,0.6,0.0038053,,,,,,,
20,0.6152833104133606,0.0,0.6,0.0038053,,,,,,,
21,0.6677939891815186,0.0,0.6,0.0038053,,,,,,,
22,0.6563913822174072,0.0,0.6,0.0038053,,,,,,,
23,0.6473705768585205,0.0,0.6,0.0038053,,,,,,,
24,0.6423795223236084,0.0,0.6,0.0038053,,,,,,,
25,0.7251280546188354,0.0,0.6,0.0038053,,,,,,,
26,0.7040458917617798,0.0,0.6,0.0038053,,,,,,,
27,0.652001142501831,0.0,0.6,0.0038053,,,,,,,
28,0.7242434024810791,0.0,0.6,0.0038053,,,,,,,
29,0.7727081179618835,0.0,0.6,0.0038053,,,,,,,
30,0.7512109279632568,0.0,0.6,0.0038053,,,,,,,
31,0.6707489490509033,0.0,0.6,0.0038053,,,,,,,
32,0.6883243322372437,0.0,0.6,0.0038053,,,,,,,
33,0.6716470122337341,0.0,0.6,0.0038053,,,,,,,
34,0.6346266865730286,0.0,0.6,0.0038053,,,,,,,
35,0.6900219917297363,0.0,0.6,0.0038053,,,,,,,
36,0.7538464069366455,0.0,0.6,0.0038053,,,,,,,
37,0.5757644772529602,0.0,0.6,0.0038053,,,,,,,
38,0.6904652118682861,0.0,0.6,0.0038053,,,,,,,
39,0.6346985101699829,0.0,0.6,0.0038053,,,,,,,
40,0.5709071159362793,0.0,0.6,0.0038053,,,,,,,
41,0.6818690896034241,0.0,0.6,0.0038053,,,,,,,
42,0.7263442277908325,0.0,0.6,0.0038053,,,,,,,
43,0.736937403678894,0.0,0.6,0.0038053,,,,,,,
44,0.6762925386428833,0.0,0.6,0.0038053,,,,,,,
45,0.5760904550552368,0.0,0.6,0.0038053,,,,,,,
46,0.6157291531562805,0.0,0.6,0.0038053,,,,,,,
47,0.8056987524032593,0.0,0.6,0.0038053,,,,,,,
48,0.6492793560028076,0.0,0.6,0.0038053,,,,,,,
49,0.6665458679199219,0.0,0.6,0.0038053,,,,,,,
50,0.7220419645309448,0.0,0.6,0.0038053,,,,,,,
51,0.7541799545288086,0.0,0.6,0.0038053,,,,,,,
52,0.6443578600883484,0.0,0.6,0.0038053,,,,,,,
53,0.7037948966026306,0.0,0.6,0.0038053,,,,,,,
54,0.7565230131149292,0.0,0.6,0.0038053,,,,,,,
55,0.5669775009155273,0.0,0.6,0.0038053,,,,,,,
56,0.7697855234146118,0.0,0.6,0.0038053,,,,,,,
57,0.6847798824310303,0.0,0.6,0.0038053,,,,,,,
58,0.6846581697463989,0.0,0.6,0.0038053,,,,,,,
59,0.7768936157226562,0.0,0.6,0.0038053,,,,,,,
60,0.6021943092346191,0.0,0.6,0.0038053,,,,,,,
61,0.7850875854492188,0.0,0.6,0.0038053,,,,,,,
62,0.6258062124252319,0.0,0.6,0.0038053,,,,,,,
63,0.5851680040359497,0.0,0.6,0.0038053,,,,,,,
64,0.728897750377655,0.0,0.6,0.0038053,,,,,,,
65,0.64670330286026,0.0,0.6,0.0038053,,,,,,,
66,0.6762524843215942,0.0,0.6,0.0038053,,,,,,,
67,0.6373907923698425,0.0,0.6,0.0038053,,,,,,,
68,0.6665389537811279,0.0,0.6,0.0038053,,,,,,,
69,0.7060221433639526,0.0,0.6,0.0038053,,,,,,,
70,0.9161035418510437,0.0,0.6,0.0038053,,,,,,,
71,0.701221764087677,0.0,0.6,0.0038053,,,,,,,
72,0.5386632084846497,0.0,0.6,0.0038053,,,,,,,
73,0.7896314859390259,0.0,0.6,0.0038053,,,,,,,
74,0.6341820955276489,0.0,0.6,0.0038053,,,,,,,
75,0.6918035745620728,0.0,0.6,0.0038053,,,,,,,
