step,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,0.7015079408884048,63.0,74.0,0.8513513513513513,16.0,47.0,0.25396825396825395,0.746031746031746,0.17426546565936832,0.0,0.6,0.0038053,1,1,0.0,,,,,,,,,,
2,0.6875351071357727,62.0,74.0,0.8378378378378378,19.0,43.0,0.3064516129032258,0.6935483870967742,0.17364247910698147,0.0,0.6,0.0038053,1,2,0.0,,,,,,,,,,
3,0.6909520626068115,64.0,74.0,0.8648648648648649,13.0,51.0,0.203125,0.796875,0.1754440128845977,0.0,0.6,0.0038053,1,3,0.0,,,,,,,,,,
4,0.6933328956365585,64.0,74.0,0.8648648648648649,12.0,52.0,0.1875,0.8125,0.1761482802428598,0.0,0.6,0.0038053,1,4,0.0,,,,,,,,,,
5,0.6973245739936829,64.0,74.0,0.8648648648648649,15.0,49.0,0.234375,0.765625,0.173991858250177,0.0,0.6,0.0038053,1,5,0.0,,,,,,,,,,
6,0.6849306225776672,63.0,74.0,0.8513513513513513,19.0,44.0,0.30158730158730157,0.6984126984126984,0.17385620749772987,0.0,0.6,0.0038053,1,6,0.0,,,,,,,,,,
7,0.6952964067459106,64.0,74.0,0.8648648648648649,12.0,52.0,0.1875,0.8125,0.17638181667094688,0.0,0.6,0.0038053,1,7,0.0,,,,,,,,,,
8,0.706731379032135,61.0,74.0,0.8243243243243243,11.0,50.0,0.18032786885245902,0.819672131147541,0.1755209691699533,0.0,0.6,0.0038053,1,8,0.0,,,,,,,,,,
9,0.689946785569191,60.0,74.0,0.8108108108108109,9.0,51.0,0.15,0.85,0.17713377145909606,0.0,0.6,0.0038053,1,9,0.0,,,,,,,,,,
10,0.7043178975582123,64.0,74.0,0.8648648648648649,12.0,52.0,0.1875,0.8125,0.17460038644384085,0.0,0.6,0.0038053,1,10,0.0,,,,,,,,,,
11,0.7080484330654144,63.0,74.0,0.8513513513513513,20.0,43.0,0.31746031746031744,0.6825396825396826,0.17544155956981458,0.0,0.6,0.0038053,1,11,0.0,,,,,,,,,,
12,0.6926867812871933,64.0,74.0,0.8648648648648649,17.0,47.0,0.265625,0.734375,0.17478374453288478,0.0,0.6,0.0038053,1,12,0.0,,,,,,,,,,
13,0.6880937218666077,64.0,74.0,0.8648648648648649,14.0,50.0,0.21875,0.78125,0.17402839963998648,0.0,0.6,0.0038053,1,13,0.0,,,,,,,,,,
14,0.7005320489406586,64.0,74.0,0.8648648648648649,19.0,45.0,0.296875,0.703125,0.1742805821712282,0.0,0.6,0.0038053,1,14,0.0,,,,,,,,,,
15,0.689438983798027,65.0,74.0,0.8783783783783784,15.0,50.0,0.23076923076923078,0.7692307692307693,0.1739554622727371,0.0,0.6,0.0038053,1,15,0.0,,,,,,,,,,
16,0.6958310902118683,63.0,74.0,0.8513513513513513,15.0,48.0,0.23809523809523808,0.7619047619047619,0.17627097277399578,0.0,0.6,0.0038053,1,16,0.0,,,,,,,,,,
