step,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,0.6901460886001587,5.0,38.0,0.13157894736842105,0.0,5.0,0.0,1.0,0.17511929046047128,0.0,0.6,0.0038053,1,1,0.0,,,,,,,,,,
2,0.7002949714660645,5.0,38.0,0.13157894736842105,0.0,5.0,0.0,1.0,0.17439738109421915,0.0,0.6,0.0038053,1,2,0.0,,,,,,,,,,
3,0.7245720475912094,5.0,38.0,0.13157894736842105,0.0,5.0,0.0,1.0,0.17614049124366532,0.0,0.6,0.0038053,1,3,0.0,,,,,,,,,,
4,0.687883585691452,4.0,38.0,0.10526315789473684,0.0,4.0,0.0,1.0,0.17320180165885107,0.0,0.6,0.0038053,1,4,0.0,,,,,,,,,,
5,0.720845639705658,3.0,38.0,0.07894736842105263,0.0,3.0,0.0,1.0,0.173796767052501,0.0,0.6,0.0038053,1,5,0.0,,,,,,,,,,
6,0.7084080725908279,4.0,38.0,0.10526315789473684,0.0,4.0,0.0,1.0,0.17881252590790503,0.0,0.6,0.0038053,1,6,0.0,,,,,,,,,,
7,0.7167211025953293,5.0,38.0,0.13157894736842105,0.0,5.0,0.0,1.0,0.1772246378699922,0.0,0.6,0.0038053,1,7,0.0,,,,,,,,,,
8,0.7291048467159271,5.0,38.0,0.13157894736842105,0.0,5.0,0.0,1.0,0.1720033350280494,0.0,0.6,0.0038053,1,8,0.0,,,,,,,,,,
9,0.7054029554128647,4.0,38.0,0.10526315789473684,0.0,4.0,0.0,1.0,0.1727465435755977,0.0,0.6,0.0038053,1,9,0.0,,,,,,,,,,
10,0.6729525774717331,3.0,38.0,0.07894736842105263,0.0,3.0,0.0,1.0,0.17281887767040938,0.0,0.6,0.0038053,1,10,0.0,,,,,,,,,,
11,0.7016056030988693,4.0,38.0,0.10526315789473684,0.0,4.0,0.0,1.0,0.1789472243107054,0.0,0.6,0.0038053,1,11,0.0,,,,,,,,,,
12,0.7090009301900864,5.0,38.0,0.13157894736842105,0.0,5.0,0.0,1.0,0.17542013357286385,0.0,0.6,0.0038053,1,12,0.0,,,,,,,,,,
13,0.6823624968528748,5.0,38.0,0.13157894736842105,0.0,5.0,0.0,1.0,0.17567365525433803,0.0,0.6,0.0038053,1,13,0.0,,,,,,,,,,
14,0.6913592964410782,5.0,38.0,0.13157894736842105,0.0,5.0,0.0,1.0,0.17981250074388802,0.0,0.6,0.0038053,1,14,0.0,,,,,,,,,,
15,0.6764699518680573,5.0,38.0,0.13157894736842105,0.0,5.0,0.0,1.0,0.17341453955194383,0.0,0.6,0.0038053,1,15,0.0,,,,,,,,,,
16,0.6867943555116653,5.0,38.0,0.13157894736842105,0.0,5.0,0.0,1.0,0.17068514912975977,0.0,0.6,0.0038053,1,16,0.0,,,,,,,,,,
17,0.699657142162323,4.0,38.0,0.10526315789473684,0.0,4.0,0.0,1.0,0.1744130976070445,0.0,0.6,0.0038053,1,17,0.0,,,,,,,,,,
18,0.6853803843259811,6.0,38.0,0.15789473684210525,0.0,6.0,0.0,1.0,0.173486012099859,0.0,0.6,0.0038053,1,18,0.0,,,,,,,,,,
19,0.6944900006055832,5.0,38.0,0.13157894736842105,0.0,5.0,0.0,1.0,0.17318465898850952,0.0,0.6,0.0038053,1,19,0.0,,,,,,,,,,
20,0.6820825934410095,5.0,38.0,0.13157894736842105,0.0,5.0,0.0,1.0,0.17865082404994875,0.0,0.6,0.0038053,1,20,0.0,,,,,,,,,,
21,0.6860164254903793,6.0,38.0,0.15789473684210525,0.0,6.0,0.0,1.0,0.17715229878182803,0.0,0.6,0.0038053,1,21,0.0,,,,,,,,,,
22,0.7073131203651428,5.0,38.0,0.13157894736842105,0.0,5.0,0.0,1.0,0.17646769489701433,0.0,0.6,0.0038053,1,22,0.0,,,,,,,,,,
