step,train/loss,train/num_tasks,train/grad_solver_cagrad,train/cagrad_c,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,0.6870414217313131,3.0,1.0,0.6,1,1,0.0,,,,,
2,0.6875187754631042,3.0,1.0,0.6,1,2,0.0,,,,,
3,0.6339041789372762,3.0,1.0,0.6,1,3,0.0,,,,,
4,0.7960060040156046,3.0,1.0,0.6,1,4,0.0,,,,,
5,0.6374972462654114,3.0,1.0,0.6,1,5,0.0,,,,,
6,0.6509351134300232,3.0,1.0,0.6,1,6,0.0,,,,,
7,0.6969616413116455,3.0,1.0,0.6,1,7,0.0,,,,,
7,,,,,1,,1.0,0.5849618766735568,0.675574804920818,0.6080322129165269,0.6725216278565157,0.023070336242970058
8,0.6872714757919312,3.0,1.0,0.6,2,1,0.0,,,,,
9,0.6801587541898092,3.0,1.0,0.6,2,2,0.0,,,,,
10,0.6552510062853495,3.0,1.0,0.6,2,3,0.0,,,,,
11,0.6583668192227682,3.0,1.0,0.6,2,4,0.0,,,,,
12,0.6734129389127096,3.0,1.0,0.6,2,5,0.0,,,,,
13,0.681422491868337,3.0,1.0,0.6,2,6,0.0,,,,,
14,0.645562986532847,3.0,1.0,0.6,2,7,0.0,,,,,
14,,,,,2,,1.0,0.6176416152356484,0.6413131361024981,0.6268455255648485,0.638235250630946,0.009203910329200093
15,0.6255370378494263,3.0,1.0,0.6,3,1,0.0,,,,,
16,0.6169641017913818,3.0,1.0,0.6,3,2,0.0,,,,,
17,0.6248124837875366,3.0,1.0,0.6,3,3,0.0,,,,,
18,0.6198134223620096,3.0,1.0,0.6,3,4,0.0,,,,,
19,0.6668641368548075,3.0,1.0,0.6,3,5,0.0,,,,,
20,0.6238970359166464,3.0,1.0,0.6,3,6,0.0,,,,,
20,,,,,3,,1.0,0.6184586086997007,0.6298980401282297,0.630068398567068,0.6248098544498645,0.01160978986736727
