mix,step,baseline_avg_final,baseline_avg_maximum,baseline_avg_total,cagrad_avg_final,cagrad_avg_maximum,cagrad_avg_total,ours_avg_final,ours_avg_maximum,ours_avg_total,ours_vs_baseline_total,ours_vs_cagrad_total,ours_vs_best_total
mix3,50,0.6894080293017393,0.6894080293017393,0.6894080293017393,0.6510230919429856,0.6510230919429856,0.6510230919429855,0.6863247460607258,0.6863247460607258,0.6863247460607257,-0.00308328324101359,0.03530165411774022,-0.00308328324101359
mix3,100,0.7437517983634873,0.7437517983634873,0.7437517983634873,0.7019402146211298,0.7136231648831041,0.705445099699722,0.7485413062163139,0.7485413062163139,0.7485413062163138,0.004789507852826502,0.04309620651659174,0.004789507852826502
mix3,150,0.769612335157696,0.7732669779482715,0.7707087279948686,0.7609732065077464,0.7609732065077464,0.7609732065077462,0.7658005850479815,0.7658005850479815,0.7658005850479814,-0.0049081429468871285,0.004827378540235183,-0.0049081429468871285
mix3,200,0.7970165934471577,0.7970165934471577,0.7970165934471576,0.7796670146830165,0.7815463533073927,0.7802308162703293,0.7911579903850345,0.794820406901888,0.7922567153400906,-0.004759878107067017,0.012025899069761259,-0.004759878107067017
mix3,250,0.794952849253642,0.8015442630262032,0.7969302733854103,0.7943147951481451,0.7949436952597044,0.794503465181613,0.8055792157921489,0.8063683420452231,0.805815953668071,0.00888568028266068,0.01131248848645805,0.00888568028266068
mix3,300,0.8006347152773352,0.8047813257867615,0.8018786984301631,0.8008724436883032,0.8031339238786317,0.8015508877454016,0.8111945111192055,0.8153195681312446,0.8124320282228172,0.01055332979265411,0.010881140477415618,0.01055332979265411
mix3,350,0.8094878363156051,0.8125022286190178,0.8103921540066288,0.8060297370226166,0.8082123001762105,0.8066845059686947,0.8133106933240835,0.8189694938054854,0.8150083334685039,0.004616179461875092,0.0083238274998092,0.004616179461875092
mix3,400,0.8057175423089225,0.8133408728580798,0.8080045414736695,0.8105311045989398,0.8131798662333152,0.8113257330892525,0.8059318590502451,0.8201078311698451,0.810184650686125,0.0021801092124554833,-0.0011410824031274913,-0.0011410824031274913
mix3,450,0.8067168029311241,0.8163283554564138,0.8096002686887109,0.8165914037620152,0.8183734316782949,0.8171260121368991,0.8136739633140748,0.8208993090528841,0.8158415670357175,0.006241298347006596,-0.0012844451011815305,-0.0012844451011815305
mix3,500,0.8066330183370807,0.8173822111646974,0.8098577761853657,0.8122474613538064,0.8186477330818775,0.8141675428722277,0.8178755011805316,0.8230186824727872,0.8194184555682082,0.009560679382842552,0.0052509126959805474,0.0052509126959805474
mix4,50,0.6352887038547822,0.6352887038547822,0.6352887038547822,0.7143935149936893,0.7143935149936893,0.7143935149936893,0.7031807421426055,0.7031807421426055,0.7031807421426055,0.06789203828782331,-0.011212772851083797,-0.011212772851083797
mix4,100,0.7585438905717206,0.7585438905717206,0.7585438905717206,0.7692565007768168,0.7692565007768168,0.7692565007768166,0.7697861700176925,0.7697861700176925,0.7697861700176925,0.011242279445971892,0.0005296692408758297,0.0005296692408758297
