step,train/loss,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,0.6853671073913574,1,1,0.0,,,,,
2,0.6856551170349121,1,2,0.0,,,,,
3,0.6554637551307678,1,3,0.0,,,,,
4,0.6893501877784729,1,4,0.0,,,,,
5,0.6339868307113647,1,5,0.0,,,,,
6,0.7010335922241211,1,6,0.0,,,,,
7,0.6782962083816528,1,7,0.0,,,,,
8,0.6746746301651001,1,8,0.0,,,,,
9,0.636669397354126,1,9,0.0,,,,,
10,0.6731002330780029,1,10,0.0,,,,,
11,0.6532351970672607,1,11,0.0,,,,,
12,0.6721651554107666,1,12,0.0,,,,,
13,0.6182941198348999,1,13,0.0,,,,,
14,0.6165777444839478,1,14,0.0,,,,,
15,0.6511903405189514,1,15,0.0,,,,,
16,0.6555289626121521,1,16,0.0,,,,,
17,0.6732014417648315,1,17,0.0,,,,,
18,0.6392118334770203,1,18,0.0,,,,,
19,0.661598801612854,1,19,0.0,,,,,
20,0.695691704750061,1,20,0.0,,,,,
21,0.619286298751831,1,21,0.0,,,,,
22,0.6169487833976746,1,22,0.0,,,,,
23,0.6177514791488647,1,23,0.0,,,,,
24,0.6784520149230957,1,24,0.0,,,,,
25,0.6873241662979126,1,25,0.0,,,,,
26,0.7008428573608398,1,26,0.0,,,,,
27,0.5780905485153198,1,27,0.0,,,,,
28,0.631364643573761,1,28,0.0,,,,,
29,0.6615923643112183,1,29,0.0,,,,,
30,0.6646568775177002,1,30,0.0,,,,,
31,0.6190824508666992,1,31,0.0,,,,,
32,0.675525426864624,1,32,0.0,,,,,
33,0.6222118139266968,1,33,0.0,,,,,
34,0.624559760093689,1,34,0.0,,,,,
35,0.6048057079315186,1,35,0.0,,,,,
36,0.6960844993591309,1,36,0.0,,,,,
37,0.6141782402992249,1,37,0.0,,,,,
38,0.5680404901504517,1,38,0.0,,,,,
39,0.5756790041923523,1,39,0.0,,,,,
40,0.5717176795005798,1,40,0.0,,,,,
41,0.6624001860618591,1,41,0.0,,,,,
42,0.6038760542869568,1,42,0.0,,,,,
43,0.5621715784072876,1,43,0.0,,,,,
44,0.5216867923736572,1,44,0.0,,,,,
45,0.6918900012969971,1,45,0.0,,,,,
46,0.47724080085754395,1,46,0.0,,,,,
47,0.7172470092773438,1,47,0.0,,,,,
48,0.47180819511413574,1,48,0.0,,,,,
49,0.6315348148345947,1,49,0.0,,,,,
50,0.5556061267852783,1,50,0.0,,,,,
51,0.6687307357788086,1,51,0.0,,,,,
52,0.8287675380706787,1,52,0.0,,,,,
53,0.6695466041564941,1,53,0.0,,,,,
54,0.6365848779678345,1,54,0.0,,,,,
55,0.7585779428482056,1,55,0.0,,,,,
56,0.6024004817008972,1,56,0.0,,,,,
57,0.6274939775466919,1,57,0.0,,,,,
58,0.6133159399032593,1,58,0.0,,,,,
59,0.5922771096229553,1,59,0.0,,,,,
60,0.5857707262039185,1,60,0.0,,,,,
61,0.6521822810173035,1,61,0.0,,,,,
62,0.5869568586349487,1,62,0.0,,,,,
63,0.6475982666015625,1,63,0.0,,,,,
64,0.5159261226654053,1,64,0.0,,,,,
65,0.6072871685028076,1,65,0.0,,,,,
66,0.5284494161605835,1,66,0.0,,,,,
67,0.469524621963501,1,67,0.0,,,,,
68,0.48117560148239136,1,68,0.0,,,,,
69,0.7460606098175049,1,69,0.0,,,,,
70,0.6502307057380676,1,70,0.0,,,,,
71,0.551028847694397,1,71,0.0,,,,,
72,0.5754571557044983,1,72,0.0,,,,,
73,0.4861726462841034,1,73,0.0,,,,,
74,0.4920501112937927,1,74,0.0,,,,,
75,0.6303024291992188,1,75,0.0,,,,,
76,0.42614370584487915,1,76,0.0,,,,,
77,0.4659804701805115,1,77,0.0,,,,,
78,0.48156434297561646,1,78,0.0,,,,,
79,0.79090416431427,1,79,0.0,,,,,
80,0.6971299648284912,1,80,0.0,,,,,
81,0.5848891735076904,1,81,0.0,,,,,
82,0.6007829308509827,1,82,0.0,,,,,
83,0.6308408975601196,1,83,0.0,,,,,
84,0.43366339802742004,1,84,0.0,,,,,
85,0.4696473479270935,1,85,0.0,,,,,
86,0.37853914499282837,1,86,0.0,,,,,
87,0.6366358995437622,1,87,0.0,,,,,
88,0.4622063636779785,1,88,0.0,,,,,
89,0.4748828113079071,1,89,0.0,,,,,
90,0.6172067523002625,1,90,0.0,,,,,
91,0.3852856755256653,1,91,0.0,,,,,
92,0.5181514620780945,1,92,0.0,,,,,
93,0.4783766269683838,1,93,0.0,,,,,
94,0.5245593786239624,1,94,0.0,,,,,
95,0.46927836537361145,1,95,0.0,,,,,
96,0.492014616727829,1,96,0.0,,,,,
97,0.3921051025390625,1,97,0.0,,,,,
98,0.6248219013214111,1,98,0.0,,,,,
99,0.516130805015564,1,99,0.0,,,,,
100,0.3838191032409668,1,100,0.0,,,,,
101,0.7865995764732361,1,101,0.0,,,,,
102,0.46642136573791504,1,102,0.0,,,,,
103,0.5023915767669678,1,103,0.0,,,,,
104,0.5786887407302856,1,104,0.0,,,,,
105,0.5294826030731201,1,105,0.0,,,,,
106,0.4770280122756958,1,106,0.0,,,,,
107,0.5362170934677124,1,107,0.0,,,,,
108,0.4311515688896179,1,108,0.0,,,,,
109,0.4234779179096222,1,109,0.0,,,,,
110,0.4763050079345703,1,110,0.0,,,,,
111,0.38016489148139954,1,111,0.0,,,,,
112,0.4207456707954407,1,112,0.0,,,,,
113,0.30226409435272217,1,113,0.0,,,,,
114,0.38454827666282654,1,114,0.0,,,,,
115,0.3685273230075836,1,115,0.0,,,,,
115,,1,,1.0,0.8553921568627451,0.35052821384026456,0.8391494002181025,0.37430995923021565,-0.016242756644642586
116,0.2942339777946472,2,1,0.0,,,,,
117,0.5319154858589172,2,2,0.0,,,,,
118,0.3878520131111145,2,3,0.0,,,,,
119,0.35848885774612427,2,4,0.0,,,,,
120,0.3154456615447998,2,5,0.0,,,,,
121,0.3139410614967346,2,6,0.0,,,,,
122,0.46520164608955383,2,7,0.0,,,,,
123,0.5226236581802368,2,8,0.0,,,,,
124,0.2879728674888611,2,9,0.0,,,,,
125,0.6984567642211914,2,10,0.0,,,,,
126,0.31069839000701904,2,11,0.0,,,,,
127,0.45038700103759766,2,12,0.0,,,,,
128,0.4437897801399231,2,13,0.0,,,,,
129,0.5248777270317078,2,14,0.0,,,,,
130,0.5770227909088135,2,15,0.0,,,,,
131,0.4456259310245514,2,16,0.0,,,,,
132,0.42152684926986694,2,17,0.0,,,,,
133,0.34029626846313477,2,18,0.0,,,,,
134,0.6022375226020813,2,19,0.0,,,,,
135,0.47692710161209106,2,20,0.0,,,,,
136,0.4344601631164551,2,21,0.0,,,,,
137,0.3475426435470581,2,22,0.0,,,,,
138,0.2535761594772339,2,23,0.0,,,,,
139,0.17130199074745178,2,24,0.0,,,,,
140,0.2973645329475403,2,25,0.0,,,,,
141,0.42469245195388794,2,26,0.0,,,,,
142,0.30689191818237305,2,27,0.0,,,,,
143,0.35467857122421265,2,28,0.0,,,,,
144,0.24174922704696655,2,29,0.0,,,,,
145,0.4227440357208252,2,30,0.0,,,,,
146,0.5551108717918396,2,31,0.0,,,,,
147,0.26805830001831055,2,32,0.0,,,,,
148,0.41009390354156494,2,33,0.0,,,,,
149,0.255082368850708,2,34,0.0,,,,,
150,0.37516555190086365,2,35,0.0,,,,,
151,0.2757512927055359,2,36,0.0,,,,,
152,0.518515944480896,2,37,0.0,,,,,
153,0.44155648350715637,2,38,0.0,,,,,
154,0.3034835457801819,2,39,0.0,,,,,
155,0.2185957133769989,2,40,0.0,,,,,
156,0.2390887588262558,2,41,0.0,,,,,
157,0.3813049793243408,2,42,0.0,,,,,
158,0.4450233578681946,2,43,0.0,,,,,
159,0.3577977418899536,2,44,0.0,,,,,
160,0.4476012587547302,2,45,0.0,,,,,
161,0.37706077098846436,2,46,0.0,,,,,
162,0.3352258801460266,2,47,0.0,,,,,
163,0.5181140303611755,2,48,0.0,,,,,
164,0.31818005442619324,2,49,0.0,,,,,
165,0.3083425462245941,2,50,0.0,,,,,
166,0.43369272351264954,2,51,0.0,,,,,
167,0.5496182441711426,2,52,0.0,,,,,
168,0.303999125957489,2,53,0.0,,,,,
169,0.25113585591316223,2,54,0.0,,,,,
170,0.2424660623073578,2,55,0.0,,,,,
171,0.19833792746067047,2,56,0.0,,,,,
172,0.4379653334617615,2,57,0.0,,,,,
173,0.19285333156585693,2,58,0.0,,,,,
174,0.2939877212047577,2,59,0.0,,,,,
175,0.43046092987060547,2,60,0.0,,,,,
176,0.3884051442146301,2,61,0.0,,,,,
177,0.302702933549881,2,62,0.0,,,,,
178,0.29604852199554443,2,63,0.0,,,,,
179,0.48737284541130066,2,64,0.0,,,,,
180,0.2239549458026886,2,65,0.0,,,,,
181,0.4315410554409027,2,66,0.0,,,,,
182,0.4667277932167053,2,67,0.0,,,,,
183,0.34235450625419617,2,68,0.0,,,,,
184,0.45044010877609253,2,69,0.0,,,,,
185,0.5794272422790527,2,70,0.0,,,,,
186,0.29172229766845703,2,71,0.0,,,,,
187,0.2922652065753937,2,72,0.0,,,,,
188,0.37079018354415894,2,73,0.0,,,,,
189,0.37826985120773315,2,74,0.0,,,,,
190,0.4389941096305847,2,75,0.0,,,,,
191,0.24260666966438293,2,76,0.0,,,,,
192,0.531898021697998,2,77,0.0,,,,,
193,0.33298689126968384,2,78,0.0,,,,,
194,0.33381229639053345,2,79,0.0,,,,,
195,0.3638170659542084,2,80,0.0,,,,,
196,0.4031286835670471,2,81,0.0,,,,,
197,0.32582753896713257,2,82,0.0,,,,,
198,0.3818507790565491,2,83,0.0,,,,,
199,0.3827051520347595,2,84,0.0,,,,,
200,0.4189426600933075,2,85,0.0,,,,,
201,0.30321836471557617,2,86,0.0,,,,,
202,0.3003510534763336,2,87,0.0,,,,,
203,0.2540695071220398,2,88,0.0,,,,,
204,0.3021678626537323,2,89,0.0,,,,,
205,0.43107813596725464,2,90,0.0,,,,,
206,0.25698065757751465,2,91,0.0,,,,,
207,0.2900467813014984,2,92,0.0,,,,,
208,0.23517632484436035,2,93,0.0,,,,,
209,0.2218092828989029,2,94,0.0,,,,,
210,0.3101116418838501,2,95,0.0,,,,,
211,0.38625460863113403,2,96,0.0,,,,,
212,0.6331572532653809,2,97,0.0,,,,,
213,0.33054620027542114,2,98,0.0,,,,,
214,0.46052366495132446,2,99,0.0,,,,,
215,0.2796129286289215,2,100,0.0,,,,,
216,0.3779359459877014,2,101,0.0,,,,,
217,0.44211357831954956,2,102,0.0,,,,,
218,0.5308483839035034,2,103,0.0,,,,,
219,0.4253378212451935,2,104,0.0,,,,,
220,0.3526330590248108,2,105,0.0,,,,,
221,0.5108106136322021,2,106,0.0,,,,,
222,0.45778268575668335,2,107,0.0,,,,,
223,0.74124675989151,2,108,0.0,,,,,
224,0.18239040672779083,2,109,0.0,,,,,
225,0.825050950050354,2,110,0.0,,,,,
226,0.5592334270477295,2,111,0.0,,,,,
227,0.5723268985748291,2,112,0.0,,,,,
228,0.3573460578918457,2,113,0.0,,,,,
229,0.4810987710952759,2,114,0.0,,,,,
230,0.4361026883125305,2,115,0.0,,,,,
230,,2,,1.0,0.8848039215686274,0.3295424443024855,0.9359323882224646,0.2857552336609882,0.05112846665383719
231,0.33813321590423584,3,1,0.0,,,,,
232,0.33313649892807007,3,2,0.0,,,,,
233,0.2881912589073181,3,3,0.0,,,,,
234,0.408058762550354,3,4,0.0,,,,,
235,0.12565600872039795,3,5,0.0,,,,,
236,0.3432590365409851,3,6,0.0,,,,,
237,0.23750761151313782,3,7,0.0,,,,,
238,0.23553793132305145,3,8,0.0,,,,,
239,0.10475984960794449,3,9,0.0,,,,,
240,0.15005938708782196,3,10,0.0,,,,,
241,0.47685253620147705,3,11,0.0,,,,,
242,0.14546748995780945,3,12,0.0,,,,,
243,0.11432184278964996,3,13,0.0,,,,,
244,0.3213810920715332,3,14,0.0,,,,,
245,0.02320241928100586,3,15,0.0,,,,,
246,0.32467758655548096,3,16,0.0,,,,,
247,0.550147294998169,3,17,0.0,,,,,
248,0.22204004228115082,3,18,0.0,,,,,
249,0.1546744406223297,3,19,0.0,,,,,
250,0.3258734345436096,3,20,0.0,,,,,
251,0.14607593417167664,3,21,0.0,,,,,
252,0.398009717464447,3,22,0.0,,,,,
253,0.26629385352134705,3,23,0.0,,,,,
254,0.4046389162540436,3,24,0.0,,,,,
255,0.3718187212944031,3,25,0.0,,,,,
256,0.22407019138336182,3,26,0.0,,,,,
257,0.3032190203666687,3,27,0.0,,,,,
258,0.14558888971805573,3,28,0.0,,,,,
259,0.3026137948036194,3,29,0.0,,,,,
260,0.23152664303779602,3,30,0.0,,,,,
261,0.3039218783378601,3,31,0.0,,,,,
262,0.28391033411026,3,32,0.0,,,,,
263,0.07033742964267731,3,33,0.0,,,,,
264,0.2413097620010376,3,34,0.0,,,,,
265,0.34978264570236206,3,35,0.0,,,,,
266,0.3237135708332062,3,36,0.0,,,,,
267,0.231559157371521,3,37,0.0,,,,,
268,0.27781033515930176,3,38,0.0,,,,,
269,0.12656229734420776,3,39,0.0,,,,,
270,0.14039313793182373,3,40,0.0,,,,,
271,0.12352444231510162,3,41,0.0,,,,,
272,0.345491886138916,3,42,0.0,,,,,
273,0.21118013560771942,3,43,0.0,,,,,
274,0.0828872099518776,3,44,0.0,,,,,
275,0.29671236872673035,3,45,0.0,,,,,
276,0.4751543402671814,3,46,0.0,,,,,
277,0.0874795913696289,3,47,0.0,,,,,
278,0.40267252922058105,3,48,0.0,,,,,
279,0.1797260344028473,3,49,0.0,,,,,
280,0.25983601808547974,3,50,0.0,,,,,
281,0.37555932998657227,3,51,0.0,,,,,
282,0.43577492237091064,3,52,0.0,,,,,
283,0.33561962842941284,3,53,0.0,,,,,
284,0.36886945366859436,3,54,0.0,,,,,
285,0.40591949224472046,3,55,0.0,,,,,
286,0.4778290092945099,3,56,0.0,,,,,
287,0.13160046935081482,3,57,0.0,,,,,
288,0.3651576340198517,3,58,0.0,,,,,
289,0.5373974442481995,3,59,0.0,,,,,
290,0.15046906471252441,3,60,0.0,,,,,
291,0.27159157395362854,3,61,0.0,,,,,
292,0.27350229024887085,3,62,0.0,,,,,
293,0.24185974895954132,3,63,0.0,,,,,
294,0.2928311824798584,3,64,0.0,,,,,
295,0.25148922204971313,3,65,0.0,,,,,
296,0.3628148138523102,3,66,0.0,,,,,
297,0.21094945073127747,3,67,0.0,,,,,
298,0.12692521512508392,3,68,0.0,,,,,
299,0.15051496028900146,3,69,0.0,,,,,
300,0.12188403308391571,3,70,0.0,,,,,
301,0.1667686402797699,3,71,0.0,,,,,
302,0.18509599566459656,3,72,0.0,,,,,
303,0.2368043214082718,3,73,0.0,,,,,
