step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb
1,1,1,0.0,32.0,32.0,0.6953125,332.5726650073193,2059.51123046875
2,1,2,0.0,32.0,32.0,0.706298828125,35.268692998215556,2503.7490234375
3,1,3,0.0,32.0,32.0,0.6953125,41.56910796882585,2806.24951171875
4,1,4,0.0,32.0,32.0,0.6824951171875,34.40441604470834,2467.07958984375
5,1,5,0.0,32.0,32.0,0.69775390625,40.79912800807506,2761.40234375
6,1,6,0.0,32.0,32.0,0.700439453125,39.19086395762861,2664.58740234375
7,1,7,0.0,32.0,32.0,0.6888427734375,38.32607204094529,2690.9091796875
8,1,8,0.0,32.0,32.0,0.6917724609375,36.60407196730375,2559.78759765625
9,1,9,0.0,32.0,32.0,0.7049560546875,36.544094036798924,2358.748046875
10,1,10,0.0,32.0,32.0,0.681884765625,37.979167012963444,2672.98583984375
11,1,11,0.0,32.0,32.0,0.68212890625,35.90608201920986,2518.4384765625
12,1,12,0.0,32.0,32.0,0.694580078125,35.17170995473862,2467.07958984375
13,1,13,0.0,32.0,32.0,0.689697265625,40.271278005093336,2744.69970703125
14,1,14,0.0,32.0,32.0,0.6864013671875,37.760749051813036,2358.748046875
15,1,15,0.0,32.0,32.0,0.6754150390625,41.17432504426688,2800.37646484375
16,1,16,0.0,32.0,32.0,0.67431640625,34.90026103099808,2413.76171875
17,1,17,0.0,32.0,32.0,0.6802978515625,38.012092001736164,2672.98583984375
18,1,18,0.0,32.0,32.0,0.6673583984375,35.78227403340861,2467.07958984375
19,1,19,0.0,32.0,32.0,0.6705322265625,44.76722498657182,2800.37646484375
20,1,20,0.0,32.0,32.0,0.6510009765625,49.11251401063055,2591.34375
21,1,21,0.0,32.0,32.0,0.60443115234375,50.87996902875602,2591.34375
22,1,22,0.0,32.0,32.0,0.53509521484375,42.45392302982509,2277.318359375
23,1,23,0.0,32.0,32.0,0.52972412109375,51.20833299588412,2591.34375
24,1,24,0.0,32.0,32.0,0.6073150634765625,51.73683300381526,2672.98583984375
25,1,25,0.0,32.0,32.0,0.385467529296875,57.76290997164324,2979.1982421875
26,1,26,0.0,32.0,32.0,0.6898422241210938,43.81098097655922,2663.32177734375
27,1,27,0.0,32.0,32.0,0.2790069580078125,36.822508031036705,2400.53173828125
28,1,28,0.0,32.0,32.0,0.4073486328125,41.84727504616603,2705.02783203125
29,1,29,0.0,32.0,32.0,0.43902587890625,45.78048700932413,2830.3427734375
30,1,30,0.0,32.0,32.0,0.7236175537109375,40.322560002096,2691.4482421875
31,1,31,0.0,32.0,32.0,0.714630126953125,42.08786797244102,2745.44970703125
32,1,32,0.0,32.0,32.0,0.355255126953125,36.933498980943114,2413.76171875
33,1,33,0.0,32.0,32.0,0.3951416015625,36.40938102034852,2559.78759765625
34,1,34,0.0,32.0,32.0,0.6855812072753906,45.568583998829126,2876.98876953125
35,1,35,0.0,32.0,32.0,0.435943603515625,37.94115601340309,2580.8203125
36,1,36,0.0,32.0,32.0,0.6050758361816406,36.2414259579964,2559.78759765625
37,1,37,0.0,32.0,32.0,0.5833358764648438,36.87220701249316,2559.78759765625
38,1,38,0.0,32.0,32.0,0.37485504150390625,36.88085702015087,2358.748046875
39,1,39,0.0,32.0,32.0,0.359283447265625,41.880622040480375,2800.07958984375
40,1,40,0.0,32.0,32.0,0.278900146484375,37.115771032404155,2358.748046875
41,1,41,0.0,32.0,32.0,0.3689422607421875,43.3395869913511,2693.0888671875
42,1,42,0.0,32.0,32.0,0.38043212890625,41.03415895951912,2559.78759765625
43,1,43,0.0,32.0,32.0,0.4806671142578125,44.25947600975633,2591.34375
44,1,44,0.0,32.0,32.0,0.3188629150390625,42.89777000667527,2485.58154296875
45,1,45,0.0,32.0,32.0,0.39128875732421875,45.786497998051345,2379.24169921875
46,1,46,0.0,32.0,32.0,0.4328765869140625,45.69386399816722,2506.0302734375
47,1,47,0.0,32.0,32.0,0.4266357421875,58.959093992598355,2980.0576171875
48,1,48,0.0,32.0,32.0,0.32403564453125,43.523087981157005,2345.5849609375
49,1,49,0.0,32.0,32.0,0.447601318359375,42.5155539996922,2580.8203125
50,1,50,0.0,32.0,32.0,0.2823486328125,42.32367197982967,2672.23583984375
51,1,51,0.0,32.0,32.0,0.37630462646484375,49.92179002147168,2880.01806640625
52,1,52,0.0,32.0,32.0,0.26436614990234375,36.9309019879438,2400.53173828125
53,1,53,0.0,32.0,32.0,0.7758865356445312,36.830694996751845,2442.669921875
54,1,54,0.0,32.0,32.0,0.5196151733398438,37.88463398814201,2545.39501953125
55,1,55,0.0,32.0,32.0,0.33847808837890625,43.07911399519071,2761.26171875
56,1,56,0.0,32.0,32.0,0.18636322021484375,39.93057401385158,2663.32177734375
57,1,57,0.0,32.0,32.0,0.4677734375,36.498514004051685,2485.58154296875
58,1,58,0.0,32.0,32.0,0.36871337890625,36.27292299643159,2506.0302734375
59,1,59,0.0,32.0,32.0,0.3706932067871094,35.618270048871636,2467.07958984375
60,1,60,0.0,32.0,32.0,0.39244842529296875,35.84909497294575,2506.0302734375
61,1,61,0.0,32.0,32.0,0.30719757080078125,36.54356999322772,2345.5849609375
