step,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,0.7316621094942093,3.0,38.0,0.07894736842105263,0.0,3.0,0.0,1.0,0.1776620269347654,0.0,0.6,0.0038053,1,1,0.0,,,,,,,,,,
2,0.68556709587574,4.0,38.0,0.10526315789473684,0.0,4.0,0.0,1.0,0.17487052427332783,0.0,0.6,0.0038053,1,2,0.0,,,,,,,,,,
3,0.7211306393146515,4.0,38.0,0.10526315789473684,0.0,4.0,0.0,1.0,0.17727093586253126,0.0,0.6,0.0038053,1,3,0.0,,,,,,,,,,
4,0.6958105266094208,3.0,38.0,0.07894736842105263,0.0,3.0,0.0,1.0,0.17116825867424976,0.0,0.6,0.0038053,1,4,0.0,,,,,,,,,,
5,0.7065455615520477,5.0,38.0,0.13157894736842105,0.0,5.0,0.0,1.0,0.1774884153333522,0.0,0.6,0.0038053,1,5,0.0,,,,,,,,,,
6,0.7070606350898743,3.0,38.0,0.07894736842105263,0.0,3.0,0.0,1.0,0.17837769907550013,0.0,0.6,0.0038053,1,6,0.0,,,,,,,,,,
7,0.725866287946701,3.0,38.0,0.07894736842105263,0.0,3.0,0.0,1.0,0.1756226831565585,0.0,0.6,0.0038053,1,7,0.0,,,,,,,,,,
8,0.6943598240613937,6.0,38.0,0.15789473684210525,0.0,6.0,0.0,1.0,0.1755141017307135,0.0,0.6,0.0038053,1,8,0.0,,,,,,,,,,
9,0.6913398653268814,5.0,38.0,0.13157894736842105,0.0,5.0,0.0,1.0,0.17297468982044062,0.0,0.6,0.0038053,1,9,0.0,,,,,,,,,,
10,0.6821163296699524,7.0,38.0,0.18421052631578946,0.0,7.0,0.0,1.0,0.176728332881171,0.0,0.6,0.0038053,1,10,0.0,,,,,,,,,,
11,0.6831169128417969,5.0,38.0,0.13157894736842105,0.0,5.0,0.0,1.0,0.17081905127014774,0.0,0.6,0.0038053,1,11,0.0,,,,,,,,,,
12,0.69029201567173,7.0,38.0,0.18421052631578946,0.0,7.0,0.0,1.0,0.1748546856753189,0.0,0.6,0.0038053,1,12,0.0,,,,,,,,,,
13,0.688154935836792,6.0,38.0,0.15789473684210525,0.0,6.0,0.0,1.0,0.1759732209386539,0.0,0.6,0.0038053,1,13,0.0,,,,,,,,,,
14,0.6909675896167755,7.0,38.0,0.18421052631578946,0.0,7.0,0.0,1.0,0.17712787659567336,0.0,0.6,0.0038053,1,14,0.0,,,,,,,,,,
15,0.7030555158853531,6.0,38.0,0.15789473684210525,0.0,6.0,0.0,1.0,0.1768864620325342,0.0,0.6,0.0038053,1,15,0.0,,,,,,,,,,
16,0.6791931539773941,8.0,38.0,0.21052631578947367,0.0,8.0,0.0,1.0,0.1760889031376868,0.0,0.6,0.0038053,1,16,0.0,,,,,,,,,,
17,0.6784680038690567,8.0,38.0,0.21052631578947367,0.0,8.0,0.0,1.0,0.17547403269317247,0.0,0.6,0.0038053,1,17,0.0,,,,,,,,,,
18,0.7023449540138245,8.0,38.0,0.21052631578947367,0.0,8.0,0.0,1.0,0.1767771805640767,0.0,0.6,0.0038053,1,18,0.0,,,,,,,,,,
19,0.6983861476182938,6.0,38.0,0.15789473684210525,0.0,6.0,0.0,1.0,0.17631803543945423,0.0,0.6,0.0038053,1,19,0.0,,,,,,,,,,
20,0.6968344748020172,6.0,38.0,0.15789473684210525,0.0,6.0,0.0,1.0,0.1780096640609671,0.0,0.6,0.0038053,1,20,0.0,,,,,,,,,,
21,0.6960205882787704,7.0,38.0,0.18421052631578946,0.0,7.0,0.0,1.0,0.17751928643685017,0.0,0.6,0.0038053,1,21,0.0,,,,,,,,,,
22,0.6752195358276367,8.0,38.0,0.21052631578947367,0.0,8.0,0.0,1.0,0.17518868186444478,0.0,0.6,0.0038053,1,22,0.0,,,,,,,,,,
23,0.6882469356060028,7.0,38.0,0.18421052631578946,0.0,7.0,0.0,1.0,0.17636846544667234,0.0,0.6,0.0038053,1,23,0.0,,,,,,,,,,
