step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb
1,1,1,0.0,32.0,32.0,0.662841796875,4.0,74.0,0.05405405405405406,0.0,4.0,0.0,1.0,0.15303942545553453,0.0,0.15303942545553453,0.0,0.6,0.0033914772,0.9999999999624446,0.6623058859011931,5.749472864675432e-09,0.0,4.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5147863001837876,0.0013616993092000484,0.4993191503454,nan,1474.3116659810767,3665.81201171875
2,1,2,0.0,32.0,32.0,0.69140625,22.0,74.0,0.2972972972972973,3.0,19.0,0.13636363636363635,0.8636363636363636,0.15053061715121935,0.14461616589755558,0.15146447787548203,0.0,0.6,0.0033914772,0.9999999996832932,0.6602085763249167,3.751213770295795e-08,3.0,19.0,0.7272727272727273,6.333333333333333,1.0,0.5746356689837792,0.3983070938052845,2.0,0.5087996926067574,0.0020629223329898813,0.49896853883350506,0.005551826415704245,932.809257064946,3835.96044921875
3,1,3,0.0,32.0,32.0,0.69287109375,19.0,74.0,0.25675675675675674,3.0,16.0,0.15789473684210525,0.8421052631578947,0.15025973288917396,0.14565120208125423,0.1511238324156589,0.0,0.6,0.0033914772,0.999999999301939,0.6775257934052892,-7.295630490733826e-09,3.0,16.0,0.6842105263157895,5.333333333333333,1.0,0.6292491950021343,0.4361623053853446,2.0,0.5071848677624086,0.0007453945339269316,0.4996273027330365,0.0033443018738625167,927.028059028089,3838.07177734375
4,1,4,0.0,32.0,32.0,0.6865234375,4.0,74.0,0.05405405405405406,1.0,3.0,0.25,0.75,0.14905513449389463,0.14421544924105142,0.150668362911509,0.0,0.6,0.0033914772,1.0,0.6582232870937125,-1.6285970596694874e-09,1.0,3.0,0.5,3.0,1.0,0.8112780956052325,0.5623351246188086,2.0,0.5093002304318239,0.0006252936436794698,0.49968735317816027,-0.004719444953056158,882.9861740814522,3776.27099609375
5,1,5,0.0,32.0,32.0,0.6519775390625,10.0,74.0,0.13513513513513514,2.0,8.0,0.2,0.8,0.14953144203378013,0.14646426055862455,0.150298237402569,0.0,0.6,0.0033914772,0.9999999999884526,0.6735326611091942,-8.725920091126379e-10,2.0,8.0,0.6,4.0,1.0,0.721928066033462,0.5004024035381882,2.0,0.5073384081018834,-0.0005119939232827164,0.5002559969616414,-0.001466989918526936,899.9711429933086,3790.61474609375
6,1,6,0.0,32.0,32.0,0.660888671875,6.0,74.0,0.08108108108108109,0.0,6.0,0.0,1.0,0.14908222477566546,0.0,0.14908222477566546,0.0,0.6,0.0033914772,1.000000000116873,0.6629235152694308,9.539540561578833e-09,0.0,6.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5059768475376378,0.0017620983999222517,0.4991189508000389,nan,888.180224923417,3775.28857421875
7,1,7,0.0,32.0,32.0,0.6878662109375,7.0,74.0,0.0945945945945946,0.0,7.0,0.0,1.0,0.15040572229497995,0.0,0.15040572229497995,0.0,0.6,0.0033914772,0.9999999995957536,0.67423926802397,-5.919380879791545e-10,0.0,7.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5071169260541103,0.00020484848937485367,0.4998975757553126,nan,886.581105994992,3786.94873046875
8,1,8,0.0,32.0,32.0,0.6510009765625,23.0,74.0,0.3108108108108108,5.0,18.0,0.21739130434782608,0.782608695652174,0.15008882980337515,0.14134714422292463,0.15251707579794474,0.0,0.6,0.0033914772,0.9999999999449115,0.6696256570710839,4.151393904736818e-09,5.0,18.0,0.5652173913043478,3.6,1.0,0.7553753837075283,0.52358631748126,2.0,0.5161550184683107,0.0008809963682106473,0.4995595018158947,0.0050961485071712624,950.1431979006156,3842.88623046875
9,1,9,0.0,32.0,32.0,0.64697265625,9.0,74.0,0.12162162162162163,0.0,9.0,0.0,1.0,0.1509861798353372,0.0,0.1509861798353372,0.0,0.6,0.0033914772,0.9999999999309809,0.6650201764089594,-1.0981511178532683e-08,0.0,9.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5074806578906934,0.0005964797455817461,0.4997017601272091,nan,914.3466249806806,3789.21630859375
10,1,10,0.0,32.0,32.0,0.622802734375,16.0,74.0,0.21621621621621623,0.0,16.0,0.0,1.0,0.14972417250701373,0.0,0.14972417250701373,0.0,0.6,0.0033914772,0.9999999999381124,0.6669143006130722,2.1559624916004278e-08,0.0,16.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5056429205422988,0.0007673809003015911,0.4996163095498492,nan,910.0908669643104,3822.67724609375
11,1,11,0.0,32.0,32.0,0.6553955078125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6737692084300452,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,868.1069699814543,3769.66162109375
12,1,12,0.0,32.0,32.0,0.634033203125,2.0,74.0,0.02702702702702703,0.0,2.0,0.0,1.0,0.1508356546016874,0.0,0.1508356546016874,0.0,0.6,0.0033914772,0.9999999999567984,0.6735512380258589,5.342070732844279e-10,0.0,2.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5027855153389581,0.004863984417170286,0.49756800779141486,nan,874.0921730641276,3771.49169921875
13,1,13,0.0,32.0,32.0,0.56878662109375,2.0,74.0,0.02702702702702703,0.0,2.0,0.0,1.0,0.14992426963524835,0.0,0.14992426963524835,0.0,0.6,0.0033914772,0.9999999999471079,0.6643442286911764,3.0983081623951783e-09,0.0,2.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5059154122261058,0.00926020834594965,0.4953698958270252,nan,878.6419939715415,3773.14794921875
14,1,14,0.0,32.0,32.0,0.66619873046875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6737991235393244,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,842.6719739800319,3760.15576171875
15,1,15,0.0,32.0,32.0,0.550933837890625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6679794459257133,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,854.9886419204995,3761.76513671875
16,1,16,0.0,32.0,32.0,0.842987060546875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6681393959242141,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,863.4265139698982,3762.38037109375
17,1,17,0.0,32.0,32.0,0.66424560546875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6731444519622486,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,843.0613899836317,3762.38037109375
18,1,18,0.0,32.0,32.0,0.682952880859375,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6683148768415874,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,865.7005509594455,3772.58740234375
19,1,19,0.0,32.0,32.0,0.54852294921875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6648331455149481,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,865.0650379713625,3778.65576171875
20,1,20,0.0,32.0,32.0,0.611236572265625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6678610439260597,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,867.3409699695185,3772.42919921875
21,1,21,0.0,32.0,32.0,0.5587158203125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6651770145240644,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,863.0431160563603,3762.38037109375
22,1,22,0.0,32.0,32.0,0.532745361328125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6615628946598043,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,865.7792509766296,3768.71630859375
23,1,23,0.0,32.0,32.0,0.595489501953125,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6652173361934853,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,857.4782700743526,3768.71630859375
24,1,24,0.0,32.0,32.0,0.606597900390625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6626814788151593,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,856.108202948235,3772.42919921875
25,1,25,0.0,32.0,32.0,0.6265869140625,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6660786817581236,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,869.1464789444581,3763.87255859375
26,1,26,0.0,32.0,32.0,0.550994873046875,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0033914772,1.0,0.6704845926729683,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,879.9021419836208,3767.45849609375
