step,train/loss,train/num_tasks,train/grad_solver_cagrad,train/cagrad_c,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,0.6925401290257772,3.0,1.0,0.6,1,1,0.0,,,,,
2,0.6929623683293661,3.0,1.0,0.6,1,2,0.0,,,,,
3,0.6771072347958883,3.0,1.0,0.6,1,3,0.0,,,,,
4,0.6127598285675049,3.0,1.0,0.6,1,4,0.0,,,,,
5,0.6317922274271647,3.0,1.0,0.6,1,5,0.0,,,,,
5,,,,,1,,1.0,0.6160076283075439,0.7108509313856435,0.6255422588860643,0.6994690136858615,0.009534630578520442
6,0.6961546937624613,3.0,1.0,0.6,2,1,0.0,,,,,
7,0.6603270173072815,3.0,1.0,0.6,2,2,0.0,,,,,
8,0.5905227065086365,3.0,1.0,0.6,2,3,0.0,,,,,
9,0.6797088781992594,3.0,1.0,0.6,2,4,0.0,,,,,
10,0.6558865110079447,3.0,1.0,0.6,2,5,0.0,,,,,
10,,,,,2,,1.0,0.6160076283075439,0.6638878443888881,0.6259699032651428,0.6583470508387044,0.009962274957598938
11,0.6460574070612589,3.0,1.0,0.6,3,1,0.0,,,,,
12,0.6430336833000183,3.0,1.0,0.6,3,2,0.0,,,,,
13,0.6432193319002787,3.0,1.0,0.6,3,3,0.0,,,,,
14,0.6383134921391805,3.0,1.0,0.6,3,4,0.0,,,,,
15,0.7096500396728516,3.0,1.0,0.6,3,5,0.0,,,,,
15,,,,,3,,1.0,0.6323266451122077,0.6567239874741847,0.627380691044943,0.6564382805933325,-0.004945954067264724
16,0.6647223631540934,3.0,1.0,0.6,4,1,0.0,,,,,
17,0.6547354658444723,3.0,1.0,0.6,4,2,0.0,,,,,
18,0.6652248303095499,3.0,1.0,0.6,4,3,0.0,,,,,
19,0.6541904211044312,3.0,1.0,0.6,4,4,0.0,,,,,
20,0.6587183475494385,3.0,1.0,0.6,4,5,0.0,,,,,
20,,,,,4,,1.0,0.6419843533242693,0.6360789307100543,0.634467270278181,0.6337188151088756,-0.007517083046088335
21,0.6452577114105225,3.0,1.0,0.6,5,1,0.0,,,,,
22,0.6387253204981486,3.0,1.0,0.6,5,2,0.0,,,,,
23,0.5738164385159811,3.0,1.0,0.6,5,3,0.0,,,,,
24,0.7378355264663696,3.0,1.0,0.6,5,4,0.0,,,,,
25,0.7584823369979858,3.0,1.0,0.6,5,5,0.0,,,,,
25,,,,,5,,1.0,0.6205232131214934,0.6279802278081731,0.6312549307171572,0.6232918416833907,0.010731717595663826
26,0.722589910030365,3.0,1.0,0.6,6,1,0.0,,,,,
27,0.6555922031402588,3.0,1.0,0.6,6,2,0.0,,,,,
28,0.6470402479171753,3.0,1.0,0.6,6,3,0.0,,,,,
29,0.6816768646240234,3.0,1.0,0.6,6,4,0.0,,,,,
30,0.6373082399368286,3.0,1.0,0.6,6,5,0.0,,,,,
30,,,,,6,,1.0,0.6225435760199621,0.62855906716223,0.6343190820940673,0.6227575981364885,0.011775506074105158
31,0.6393013000488281,3.0,1.0,0.6,7,1,0.0,,,,,
32,0.6287727753321329,3.0,1.0,0.6,7,2,0.0,,,,,
33,0.6405361493428549,3.0,1.0,0.6,7,3,0.0,,,,,
34,0.6058994134267172,3.0,1.0,0.6,7,4,0.0,,,,,
35,0.6087260842323303,3.0,1.0,0.6,7,5,0.0,,,,,
35,,,,,7,,1.0,0.6241775629480667,0.6158309963755397,0.6381128942760375,0.6078816448720373,0.013935331327970757
36,0.6068257292111715,3.0,1.0,0.6,8,1,0.0,,,,,
37,0.6304331421852112,3.0,1.0,0.6,8,2,0.0,,,,,
38,0.5870725214481354,3.0,1.0,0.6,8,3,0.0,,,,,
39,0.6123546759287516,3.0,1.0,0.6,8,4,0.0,,,,,
40,0.5851567288239797,3.0,1.0,0.6,8,5,0.0,,,,,
40,,,,,8,,1.0,0.6258115498761713,0.6041148941586654,0.647086119495197,0.5928712732208344,0.02127456961902574
41,0.563618004322052,3.0,1.0,0.6,9,1,0.0,,,,,
42,0.6551308433214823,3.0,1.0,0.6,9,2,0.0,,,,,
43,0.6162905295689901,3.0,1.0,0.6,9,3,0.0,,,,,
44,0.6024353504180908,3.0,1.0,0.6,9,4,0.0,,,,,
45,0.5761513710021973,3.0,1.0,0.6,9,5,0.0,,,,,
45,,,,,9,,1.0,0.6262421673698594,0.5876791276900271,0.649896614941337,0.5746526824558077,0.02365444757147761
46,0.5862364570299784,3.0,1.0,0.6,10,1,0.0,,,,,
47,0.5597617924213409,3.0,1.0,0.6,10,2,0.0,,,,,
48,0.5987655917803446,3.0,1.0,0.6,10,3,0.0,,,,,
49,0.5888657569885254,3.0,1.0,0.6,10,4,0.0,,,,,
50,0.5199614465236664,3.0,1.0,0.6,10,5,0.0,,,,,
50,,,,,10,,1.0,0.6464232528311238,0.5778575421491147,0.6646553660709486,0.5682765463283735,0.018232113239824765
