step,train/loss,train/num_tasks,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,0.679663489262263,3.0,38.0,74.0,0.5135135135135135,0.0,38.0,0.0,1.0,0.17655373439907351,0.0,0.6,0.0038053,1,1,0.0,,,,,,,,,,
2,0.6810313115517297,3.0,46.0,74.0,0.6216216216216216,1.0,45.0,0.021739130434782608,0.9782608695652174,0.1756227607788227,0.0,0.6,0.0038053,1,2,0.0,,,,,,,,,,
3,0.6837923477093378,3.0,49.0,74.0,0.6621621621621622,0.0,49.0,0.0,1.0,0.17511783751712895,0.0,0.6,0.0038053,1,3,0.0,,,,,,,,,,
4,0.6656595468521117,3.0,43.0,74.0,0.581081081081081,0.0,43.0,0.0,1.0,0.17398732036573922,0.0,0.6,0.0038053,1,4,0.0,,,,,,,,,,
5,0.6732490211725235,3.0,44.0,74.0,0.5945945945945946,0.0,44.0,0.0,1.0,0.17519889515511172,0.0,0.6,0.0038053,1,5,0.0,,,,,,,,,,
6,0.6663760940233867,3.0,45.0,74.0,0.6081081081081081,0.0,45.0,0.0,1.0,0.1751434982275564,0.0,0.6,0.0038053,1,6,0.0,,,,,,,,,,
7,0.6790302147467931,3.0,36.0,74.0,0.4864864864864865,0.0,36.0,0.0,1.0,0.17525285293751625,0.0,0.6,0.0038053,1,7,0.0,,,,,,,,,,
7,,,,,,,,,,,,,,1,,1.0,0.6160076283075439,0.6637399698270167,0.6160076283075439,0.6636596024576723,0.6257299008075176,0.6589605614882206,0.009722272499973705,0.6261393049998165,0.6588000111205571,0.010131676692272662
8,0.6421383718649546,3.0,33.0,74.0,0.44594594594594594,0.0,33.0,0.0,1.0,0.17468210759712507,0.0,0.6,0.0038053,2,1,0.0,,,,,,,,,,
9,0.632305065790812,3.0,32.0,74.0,0.43243243243243246,0.0,32.0,0.0,1.0,0.1749018960174197,0.0,0.6,0.0038053,2,2,0.0,,,,,,,,,,
10,0.5958099663257598,3.0,21.0,74.0,0.28378378378378377,0.0,21.0,0.0,1.0,0.17551936521216244,0.0,0.6,0.0038053,2,3,0.0,,,,,,,,,,
11,0.6192916358510652,3.0,17.0,74.0,0.22972972972972974,0.0,17.0,0.0,1.0,0.1747095951680881,0.0,0.6,0.0038053,2,4,0.0,,,,,,,,,,
12,0.7030033121506373,3.0,4.0,74.0,0.05405405405405406,0.0,4.0,0.0,1.0,0.17578663481620038,0.0,0.6,0.0038053,2,5,0.0,,,,,,,,,,
13,0.6358088751633962,3.0,12.0,74.0,0.16216216216216217,0.0,12.0,0.0,1.0,0.17532298399841725,0.0,0.6,0.0038053,2,6,0.0,,,,,,,,,,
14,0.6783304313818614,3.0,3.0,74.0,0.04054054054054054,0.0,3.0,0.0,1.0,0.17492706644264444,0.0,0.6,0.0038053,2,7,0.0,,,,,,,,,,
14,,,,,,,,,,,,,,2,,1.0,0.6160076283075439,0.659112605436328,0.6160076283075439,0.6585075222621524,0.6257347941909591,0.6525421395181318,0.009727165883415267,0.6252070154531716,0.6524669384830662,0.009199387145627735
15,0.611639050145944,3.0,7.0,74.0,0.0945945945945946,0.0,7.0,0.0,1.0,0.17440244741082264,0.0,0.6,0.0038053,3,1,0.0,,,,,,,,,,
16,0.6523996690909066,3.0,1.0,74.0,0.013513513513513514,0.0,1.0,0.0,1.0,0.1755518656189172,0.0,0.6,0.0038053,3,2,0.0,,,,,,,,,,
17,0.6871931329369544,3.0,2.0,74.0,0.02702702702702703,0.0,2.0,0.0,1.0,0.1746744260806964,0.0,0.6,0.0038053,3,3,0.0,,,,,,,,,,
18,0.663785457611084,3.0,1.0,74.0,0.013513513513513514,0.0,1.0,0.0,1.0,0.1766390475550802,0.0,0.6,0.0038053,3,4,0.0,,,,,,,,,,
19,0.7028823544581732,3.0,2.0,74.0,0.02702702702702703,0.0,2.0,0.0,1.0,0.17588693272426772,0.0,0.6,0.0038053,3,5,0.0,,,,,,,,,,
20,0.6834725886583328,3.0,2.0,74.0,0.02702702702702703,0.0,2.0,0.0,1.0,0.17453216773057623,0.0,0.6,0.0038053,3,6,0.0,,,,,,,,,,
20,,,,,,,,,,,,,,3,,1.0,0.6160076283075439,0.652226976002476,0.6160076283075439,0.6519580999902109,0.625250922569447,0.6466542197401816,0.009243294261903179,0.6259273294958541,0.6461408486128746,0.009919701188310204
