step,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,0.6503038704395294,47.0,74.0,0.6351351351351351,13.0,34.0,0.2765957446808511,0.723404255319149,0.1758673453629257,0.0,0.6,0.0038053,1,1,0.0,,,,,,,,,,
2,0.6078669279813766,42.0,74.0,0.5675675675675675,14.0,28.0,0.3333333333333333,0.6666666666666666,0.17422400290818968,0.0,0.6,0.0038053,1,2,0.0,,,,,,,,,,
3,0.6857552528381348,45.0,74.0,0.6081081081081081,13.0,32.0,0.28888888888888886,0.7111111111111111,0.1744657757338991,0.0,0.6,0.0038053,1,3,0.0,,,,,,,,,,
4,0.5970132201910019,55.0,74.0,0.7432432432432432,17.0,38.0,0.3090909090909091,0.6909090909090909,0.17596295651434038,0.0,0.6,0.0038053,1,4,0.0,,,,,,,,,,
5,0.6205143332481384,53.0,74.0,0.7162162162162162,12.0,41.0,0.22641509433962265,0.7735849056603774,0.17714592470515694,0.0,0.6,0.0038053,1,5,0.0,,,,,,,,,,
6,0.6498912274837494,44.0,74.0,0.5945945945945946,9.0,35.0,0.20454545454545456,0.7954545454545454,0.17584658629540134,0.0,0.6,0.0038053,1,6,0.0,,,,,,,,,,
7,0.6146866232156754,48.0,74.0,0.6486486486486487,10.0,38.0,0.20833333333333334,0.7916666666666666,0.17365777667328522,0.0,0.6,0.0038053,1,7,0.0,,,,,,,,,,
8,0.6600008606910706,48.0,74.0,0.6486486486486487,9.0,39.0,0.1875,0.8125,0.1746908720953505,0.0,0.6,0.0038053,1,8,0.0,,,,,,,,,,
9,0.6233091056346893,52.0,74.0,0.7027027027027027,14.0,38.0,0.2692307692307692,0.7307692307692307,0.17385726092753992,0.0,0.6,0.0038053,1,9,0.0,,,,,,,,,,
10,0.6275763511657715,48.0,74.0,0.6486486486486487,9.0,39.0,0.1875,0.8125,0.17527063463844858,0.0,0.6,0.0038053,1,10,0.0,,,,,,,,,,
11,0.5645331144332886,47.0,74.0,0.6351351351351351,22.0,25.0,0.46808510638297873,0.5319148936170213,0.17278545994247055,0.0,0.6,0.0038053,1,11,0.0,,,,,,,,,,
12,0.602033406496048,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,12,0.0,,,,,,,,,,
13,0.6631420627236366,43.0,74.0,0.581081081081081,8.0,35.0,0.18604651162790697,0.813953488372093,0.17658555439364182,0.0,0.6,0.0038053,1,13,0.0,,,,,,,,,,
14,0.6665562242269516,45.0,74.0,0.6081081081081081,10.0,35.0,0.2222222222222222,0.7777777777777778,0.17491381173587905,0.0,0.6,0.0038053,1,14,0.0,,,,,,,,,,
15,0.6119357049465179,44.0,74.0,0.5945945945945946,12.0,32.0,0.2727272727272727,0.7272727272727273,0.17579246081829675,0.0,0.6,0.0038053,1,15,0.0,,,,,,,,,,
16,0.7571214735507965,44.0,74.0,0.5945945945945946,14.0,30.0,0.3181818181818182,0.6818181818181818,0.1741985616232209,0.0,0.6,0.0038053,1,16,0.0,,,,,,,,,,
17,0.7219947129487991,45.0,74.0,0.6081081081081081,13.0,32.0,0.28888888888888886,0.7111111111111111,0.17491886428305137,0.0,0.6,0.0038053,1,17,0.0,,,,,,,,,,
18,0.5712368041276932,42.0,74.0,0.5675675675675675,13.0,29.0,0.30952380952380953,0.6904761904761905,0.17621488329989118,0.0,0.6,0.0038053,1,18,0.0,,,,,,,,,,
19,0.6030595302581787,44.0,74.0,0.5945945945945946,12.0,32.0,0.2727272727272727,0.7272727272727273,0.1744223218324391,0.0,0.6,0.0038053,1,19,0.0,,,,,,,,,,
20,0.733613982796669,45.0,74.0,0.6081081081081081,10.0,35.0,0.2222222222222222,0.7777777777777778,0.17459916570375394,0.0,0.6,0.0038053,1,20,0.0,,,,,,,,,,
21,0.625893846154213,46.0,74.0,0.6216216216216216,17.0,29.0,0.3695652173913043,0.6304347826086957,0.17492656722033023,0.0,0.6,0.0038053,1,21,0.0,,,,,,,,,,
22,0.6155089139938354,44.0,74.0,0.5945945945945946,9.0,35.0,0.20454545454545456,0.7954545454545454,0.17617708415182667,0.0,0.6,0.0038053,1,22,0.0,,,,,,,,,,
23,0.6424725204706192,44.0,74.0,0.5945945945945946,11.0,33.0,0.25,0.75,0.17478386019348677,0.0,0.6,0.0038053,1,23,0.0,,,,,,,,,,
24,0.6358421444892883,44.0,74.0,0.5945945945945946,13.0,31.0,0.29545454545454547,0.7045454545454546,0.17537057970856654,0.0,0.6,0.0038053,1,24,0.0,,,,,,,,,,
25,0.6184366643428802,30.0,74.0,0.40540540540540543,6.0,24.0,0.2,0.8,0.17742605764272418,0.0,0.6,0.0038053,1,25,0.0,,,,,,,,,,
