step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb
1,1,1,0.0,128.0,128.0,0.8097552340477705,54.0,74.0,0.7297297297297297,5.0,49.0,0.09259259259259259,0.9074074074074074,0.18825323113478146,0.18156984024466621,0.1889352097970381,0.0,0.6,0.008,0.9999999999987944,0.6489589672817924,-7.779174155208448e-11,5.0,49.0,0.8148148148148148,9.8,1.0,0.4450648281969386,0.3084954308311044,2.0,0.5072061699141616,-0.006830031820439272,0.5034150159102196,-0.004793188800964963,2241.300581023097,8632.5830078125
2,1,2,0.0,128.0,128.0,0.7484020926058292,49.0,74.0,0.6621621621621622,3.0,46.0,0.061224489795918366,0.9387755102040817,0.18887491977500256,0.18037587220459625,0.18942920548611603,0.0,0.6,0.008,0.9999999999989803,0.6501149557908809,4.699088682639961e-09,3.0,46.0,0.8775510204081632,15.333333333333334,1.0,0.33228660136771543,0.2303235208758784,2.0,0.5078951400894861,-0.00012537703122067644,0.5000626885156103,-0.009275939118413653,1647.856849944219,9034.73486328125
3,1,3,0.0,128.0,128.0,0.6408302690833807,22.0,74.0,0.2972972972972973,2.0,20.0,0.09090909090909091,0.9090909090909091,0.18832377178635643,0.18096349964285102,0.18905979900070694,0.0,0.6,0.008,0.9999999999910963,0.6600704143896007,-2.039527208671465e-10,2.0,20.0,0.8181818181818182,10.0,1.0,0.43949695806761335,0.3046360773492387,2.0,0.507818745654857,-0.001202212483067775,0.5006011062415339,-0.0060293237692713945,1710.3402980137616,8781.396484375
4,1,4,0.0,128.0,128.0,0.6558913420885801,25.0,74.0,0.33783783783783783,0.0,25.0,0.0,1.0,0.18782649934534262,0.0,0.18782649934534262,0.0,0.6,0.008,0.9999999999915815,0.6521389415444376,4.588944304084066e-10,0.0,25.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5031940853550791,-0.0005201848883492252,0.5002600924441746,nan,1609.3636059667915,8784.1142578125
5,1,5,0.0,128.0,128.0,0.6371613414958119,49.0,74.0,0.6621621621621622,0.0,49.0,0.0,1.0,0.18815042426829925,0.0,0.18815042426829925,0.0,0.6,0.008,0.9999999998437294,0.6649124963503802,-2.1154218292028363e-09,0.0,49.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.503660329487514,-5.4497341434547644e-05,0.5000272486707172,nan,1611.998780979775,9019.91650390625
6,1,6,0.0,128.0,128.0,0.6076876288279891,52.0,74.0,0.7027027027027027,0.0,52.0,0.0,1.0,0.18776102513623644,0.0,0.18776102513623644,0.0,0.6,0.008,0.9999999993678407,0.6694566747707911,7.975103301977394e-09,0.0,52.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5026004047752163,-2.122697769664228e-05,0.5000106134888483,nan,1617.4287139438093,9087.251953125
7,1,7,0.0,128.0,128.0,0.6214654296636581,47.0,74.0,0.6351351351351351,0.0,47.0,0.0,1.0,0.18815675344689967,0.0,0.18815675344689967,0.0,0.6,0.008,0.9999999996376163,0.6617799861789231,8.51681873072527e-09,0.0,47.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5040958194970611,-1.8783928356417608e-05,0.5000093919641783,nan,1616.5383140323684,9002.5029296875
8,1,8,0.0,128.0,128.0,0.5985480519011617,27.0,74.0,0.36486486486486486,2.0,25.0,0.07407407407407407,0.9259259259259259,0.18910541611346438,0.17920758639671927,0.18989724249080397,0.0,0.6,0.008,1.0000000001636065,0.677552834922021,-2.970371267593048e-09,2.0,25.0,0.8518518518518519,12.5,1.0,0.3809465568514903,0.2640520318256294,2.0,0.5087977863584392,-0.000497512573019776,0.5002487562865099,-0.010521929539882562,1591.1956239724532,8790.1259765625
9,1,9,0.0,128.0,128.0,0.6065002307295799,17.0,74.0,0.22972972972972974,1.0,16.0,0.058823529411764705,0.9411764705882353,0.1873670324469637,0.1835402485547156,0.1876062064402292,0.0,0.6,0.008,1.0000000000464584,0.6859481729332817,-3.011502788062334e-10,1.0,16.0,0.8823529411764706,16.0,1.0,0.3227569300434987,0.22371805606583461,2.0,0.5033234724018816,-0.0006902217346182822,0.5003451108673092,-0.0048059553873006115,1594.077319954522,8772.3916015625
10,1,10,0.0,128.0,128.0,0.6626871982589364,16.0,74.0,0.21621621621621623,0.0,16.0,0.0,1.0,0.18821691960172707,0.0,0.18821691960172707,0.0,0.6,0.008,1.0000000000173677,0.668821272527961,-3.458265111168106e-09,0.0,16.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5026069403290159,-0.0004497911504586227,0.5002248955752293,nan,1599.357252009213,8745.1083984375
