method,trial_idx,lr,score,val_max,val_final,val_avg
ours,9,3.797427327594859e-05,0.5631768953068592,0.5631768953068592,0.5631768953068592,0.5631768953068592
ours,7,1.9741828084997843e-05,0.5595667870036101,0.5595667870036101,0.5595667870036101,0.5595667870036101
ours,8,2.7380313633457613e-05,0.552346570397112,0.552346570397112,0.552346570397112,0.552346570397112
ours,14,0.00019486988806880498,0.5270758122743683,0.5270758122743683,0.5270758122743683,0.5270758122743683
ours,16,0.0003748407873332524,0.5270758122743683,0.5270758122743683,0.5270758122743683,0.5270758122743683
ours,17,0.0005198737561490501,0.5270758122743683,0.5270758122743683,0.5270758122743683,0.5270758122743683
ours,12,0.0001013077406706745,0.5252707581227437,0.5252707581227437,0.5252707581227437,0.5252707581227437
ours,11,7.304518227125355e-05,0.5144404332129964,0.5144404332129964,0.5144404332129964,0.5144404332129964
ours,3,5.335598653040655e-06,0.5072202166064983,0.5072202166064982,0.5072202166064982,0.5072202166064982
ours,10,5.266723566943744e-05,0.5,0.5,0.5,0.5
ours,5,1.0263258319796638e-05,0.5,0.5,0.5,0.5
ours,4,7.4000423827783065e-06,0.5,0.5,0.5,0.5
ours,18,0.0007210227154182107,0.5,0.5,0.5,0.5
ours,13,0.00014050561584861255,0.5,0.5,0.5,0.5
ours,19,0.001,0.5,0.5,0.5,0.5
ours,6,1.4234306493164625e-05,0.5,0.5,0.5,0.5
ours,15,0.00027026872233252143,0.4963898916967509,0.49638989169675085,0.49638989169675085,0.49638989169675085
ours,2,3.847087829197125e-06,0.4891696750902527,0.48916967509025266,0.48916967509025266,0.48916967509025266
ours,1,2.7738377130600575e-06,0.47833935018050544,0.4783393501805054,0.4783393501805054,0.4783393501805054
ours,0,2e-06,0.47292418772563183,0.4729241877256318,0.4729241877256318,0.4729241877256318
