step,train/loss,train/num_tasks,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,0.6880696614583333,3.0,56.0,74.0,0.7567567567567568,0.0,56.0,0.0,1.0,0.17486476707287046,0.0,0.17486476707287046,0.0,0.6,0.0038053,1,1,0.0,,,,,,,,,,
2,0.6761474609375,3.0,47.0,74.0,0.6351351351351351,0.0,47.0,0.0,1.0,0.17496115926069397,0.0,0.17496115926069397,0.0,0.6,0.0038053,1,2,0.0,,,,,,,,,,
3,0.685791015625,3.0,36.0,74.0,0.4864864864864865,0.0,36.0,0.0,1.0,0.17495486129394663,0.0,0.17495486129394663,0.0,0.6,0.0038053,1,3,0.0,,,,,,,,,,
4,0.6594645182291666,3.0,45.0,74.0,0.6081081081081081,0.0,45.0,0.0,1.0,0.17541053207887608,0.0,0.17541053207887608,0.0,0.6,0.0038053,1,4,0.0,,,,,,,,,,
5,0.6742960611979167,3.0,19.0,74.0,0.25675675675675674,0.0,19.0,0.0,1.0,0.17446053713903362,0.0,0.17446053713903362,0.0,0.6,0.0038053,1,5,0.0,,,,,,,,,,
5,,,,,,,,,,,,,,,,1,,1.0,0.6160076283075439,0.6589207598364005,0.6160076283075439,0.6583541863340073,0.6255946194222363,0.6530495762129255,0.009586991114692411,0.6261406383468033,0.6524868451489442,0.010133010039259482
6,0.6826578776041666,3.0,12.0,74.0,0.16216216216216217,0.0,12.0,0.0,1.0,0.17530302139349727,0.0,0.17530302139349727,0.0,0.6,0.0038053,2,1,0.0,,,,,,,,,,
7,0.6431274414062499,3.0,20.0,74.0,0.2702702702702703,0.0,20.0,0.0,1.0,0.17457109241563873,0.0,0.17457109241563873,0.0,0.6,0.0038053,2,2,0.0,,,,,,,,,,
8,0.6020711263020833,3.0,6.0,74.0,0.08108108108108109,0.0,6.0,0.0,1.0,0.17681323513881275,0.0,0.17681323513881275,0.0,0.6,0.0038053,2,3,0.0,,,,,,,,,,
9,0.6078287760416666,3.0,1.0,74.0,0.013513513513513514,0.0,1.0,0.0,1.0,0.174173490375843,0.0,0.174173490375843,0.0,0.6,0.0038053,2,4,0.0,,,,,,,,,,
10,0.6105550130208333,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,2,5,0.0,,,,,,,,,,
10,,,,,,,,,,,,,,,,2,,1.0,0.6160076283075439,0.6172945152768444,0.6160076283075439,0.617402961613199,0.6261002912669825,0.6129228225779612,0.01009266295943867,0.625966343228688,0.6132899959310296,0.009958714921144196
11,0.6607360839843749,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,3,1,0.0,,,,,,,,,,
12,0.6577962239583334,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,3,2,0.0,,,,,,,,,,
13,0.6608988444010416,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,3,3,0.0,,,,,,,,,,
