step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,128.0,128.0,0.67974853515625,453.52724101394415,7114.802734375,,,,,
2,1,2,0.0,128.0,128.0,0.68829345703125,206.88430199516006,9429.40966796875,,,,,
3,1,3,0.0,128.0,128.0,0.681365966796875,207.3045680008363,8918.86328125,,,,,
4,1,4,0.0,128.0,128.0,0.674346923828125,273.8306919927709,8918.86328125,,,,,
5,1,5,0.0,128.0,128.0,0.6712493896484375,279.25971199874766,9652.45263671875,,,,,
6,1,6,0.0,128.0,128.0,0.6765594482421875,178.71581600047648,7846.67919921875,,,,,
7,1,7,0.0,128.0,128.0,0.674468994140625,208.49006198113784,8918.86328125,,,,,
8,1,8,0.0,128.0,128.0,0.65142822265625,226.87452399986796,8664.83544921875,,,,,
9,1,9,0.0,128.0,128.0,0.6150970458984375,272.4209599837195,9156.06201171875,,,,,
10,1,10,0.0,128.0,128.0,0.6140213012695312,253.48978900001384,10155.46826171875,,,,,
11,1,11,0.0,128.0,128.0,0.6185035705566406,236.31703600403853,9882.0390625,,,,,
12,1,12,0.0,128.0,128.0,0.6600303649902344,224.10333098378032,8596.443359375,,,,,
13,1,13,0.0,128.0,128.0,0.6194000244140625,234.18266099179164,8305.529296875,,,,,
14,1,14,0.0,128.0,128.0,0.6357650756835938,205.17166101490147,8132.1279296875,,,,,
15,1,15,0.0,128.0,128.0,0.648406982421875,226.76535201026127,9428.76904296875,,,,,
16,1,16,0.0,128.0,128.0,0.6153564453125,193.6323620029725,8243.54638671875,,,,,
17,1,17,0.0,128.0,128.0,0.5973587036132812,241.901005996624,9030.71728515625,,,,,
18,1,18,0.0,128.0,128.0,0.5921707153320312,245.65596101456322,9030.71728515625,,,,,
19,1,19,0.0,128.0,128.0,0.5905380249023438,229.861522995634,9320.69677734375,,,,,
20,1,20,0.0,128.0,128.0,0.6023788452148438,188.02415899699554,8043.96240234375,,,,,
21,1,21,0.0,128.0,128.0,0.6018753051757812,232.70982899703085,8918.86328125,,,,,
22,1,22,0.0,128.0,128.0,0.6363143920898438,217.36952199717052,8243.54638671875,,,,,
23,1,23,0.0,128.0,128.0,0.6116714477539062,262.5015630037524,10078.1806640625,,,,,
24,1,24,0.0,128.0,128.0,0.5618515014648438,197.58163898950443,8305.529296875,,,,,
25,1,25,0.0,128.0,128.0,0.540313720703125,198.67515400983393,8243.54638671875,,,,,
26,1,26,0.0,128.0,128.0,0.5866241455078125,243.66142702638172,9092.57373046875,,,,,
27,1,27,0.0,128.0,128.0,0.5790672302246094,227.3496090201661,8664.83544921875,,,,,
28,1,28,0.0,128.0,128.0,0.5973052978515625,239.17779000476003,9477.85888671875,,,,,
29,1,29,0.0,84.0,84.0,0.5041736364364624,142.25092899869196,6241.021484375,,,,,
30,1,30,0.0,128.0,128.0,0.4609413146972656,211.4259910013061,8745.861328125,,,,,
31,1,31,0.0,128.0,128.0,0.5131034851074219,239.03126001823694,8918.86328125,,,,,
32,1,32,0.0,128.0,128.0,0.5516357421875,208.99619100964628,8387.95849609375,,,,,
33,1,33,0.0,128.0,128.0,0.5342159271240234,252.900936990045,9882.0390625,,,,,
34,1,34,0.0,128.0,128.0,0.47835731506347656,202.94539499445818,8305.529296875,,,,,
35,1,35,0.0,128.0,128.0,0.5934314727783203,206.19926298968494,8132.1279296875,,,,,
36,1,36,0.0,128.0,128.0,0.401702880859375,233.86399997980334,9030.71728515625,,,,,
37,1,37,0.0,128.0,128.0,0.41710472106933594,230.24047899525613,9030.71728515625,,,,,
38,1,38,0.0,128.0,128.0,0.43035316467285156,239.03758998494595,9477.85888671875,,,,,
39,1,39,0.0,128.0,128.0,0.44393157958984375,203.78667299519293,8132.1279296875,,,,,
40,1,40,0.0,128.0,128.0,0.4860706329345703,233.55491401161999,8918.86328125,,,,,
41,1,41,0.0,128.0,128.0,0.537989616394043,230.9607840143144,8918.86328125,,,,,
42,1,42,0.0,128.0,128.0,0.47556018829345703,227.70775100798346,9030.71728515625,,,,,
43,1,43,0.0,128.0,128.0,0.4565448760986328,248.86998400324956,9652.07763671875,,,,,
44,1,44,0.0,128.0,128.0,0.43939971923828125,248.44590600696392,9428.76904296875,,,,,
45,1,45,0.0,128.0,128.0,0.4393482208251953,226.47295900969766,8833.73388671875,,,,,
46,1,46,0.0,128.0,128.0,0.3837547302246094,205.34706499893218,8305.529296875,,,,,
47,1,47,0.0,128.0,128.0,0.3573465347290039,220.2787360001821,8664.83544921875,,,,,
48,1,48,0.0,128.0,128.0,0.4666023254394531,208.4712110226974,8305.529296875,,,,,
49,1,49,0.0,128.0,128.0,0.4365835189819336,265.76928098802455,10155.46826171875,,,,,
50,1,50,0.0,128.0,128.0,0.3886899948120117,229.2234190099407,8918.86328125,,,,,
51,1,51,0.0,128.0,128.0,0.4285569190979004,207.60751099442132,8387.95849609375,,,,,
52,1,52,0.0,128.0,128.0,0.3514842987060547,206.90345199545845,8305.529296875,,,,,
53,1,53,0.0,128.0,128.0,0.32631587982177734,221.7783810046967,8664.83544921875,,,,,
54,1,54,0.0,128.0,128.0,0.43581533432006836,201.01034999242984,8043.96240234375,,,,,
55,1,55,0.0,128.0,128.0,0.5534858703613281,261.70092198299244,10078.1806640625,,,,,
56,1,56,0.0,128.0,128.0,0.38647890090942383,220.6311259942595,8596.443359375,,,,,
