step,mean,std,min,max,n
115,0.6620167275628793,0.004507753103548903,0.6560615810726127,0.6672195322673964,5
230,0.6644322311197506,0.0027969030997824318,0.6596313046209503,0.668388612512763,5
345,0.6650033516149116,0.0027322929960374082,0.6611617368595665,0.6679237103114363,5
460,0.6705453557647678,0.002621631895999428,0.6664247758694968,0.67425808828815,5
575,0.6644146382264217,0.0044732930744596005,0.6577032069206403,0.669737198170948,5
690,0.6660581602231163,0.002629976796217606,0.6612277221680175,0.6686968350643543,5
805,0.665741295739559,0.003413190960507135,0.6607332622934871,0.6690779218288784,5
920,0.6665425043036818,0.00565698533864104,0.6571527957951064,0.6736387691377715,5
1035,0.6686508539153699,0.0035420519429337108,0.6631767155100874,0.6739071217771945,5
1150,0.6691140611051793,0.0032416247823620972,0.6636766298774143,0.6728242151164757,5
