step,mean,std,min,max,n
115,0.0,0.0,0.0,0.0,5
230,0.0,0.0,0.0,0.0,5
345,0.0,0.0,0.0,0.0,5
460,0.0,0.0,0.0,0.0,5
575,6.53989228434386e-11,1.307978456868772e-10,0.0,3.26994614217193e-10,5
690,-8.366646665165283e-10,1.3075540169307466e-09,-3.3758791915726792e-09,0.0,5
805,-1.9619763387696153e-09,7.055387863998623e-09,-1.2881760668693261e-08,9.084458158464291e-09,5
920,-7.605218073417396e-10,9.743444401269692e-09,-1.846845685272072e-08,1.1136742154081988e-08,5
1035,3.382382962018289e-09,4.682281566359126e-09,0.0,1.2539157193305402e-08,5
1150,-9.395938496977222e-10,3.729188890346158e-09,-7.508724969287781e-09,4.122276026254953e-09,5
