step,mean,std,min,max,n
115,1.0,0.0,1.0,1.0,5
230,1.0,0.0,1.0,1.0,5
345,1.0,0.0,1.0,1.0,5
460,1.0,0.0,1.0,1.0,5
575,1.0000000027345692,5.46913847543351e-09,1.0,1.0000000136728462,5
690,0.9999999787214197,4.246770120735279e-08,0.9999998937861304,1.0,5
805,1.0000000028941747,8.067965857603927e-09,0.9999999949818068,1.0000000184448337,5
920,1.0000000056780531,1.3553715178211699e-08,0.99999998845629,1.000000028601192,5
1035,0.999999997890689,6.020360770039026e-09,0.999999986134853,1.0000000033505756,5
1150,0.999999993441288,1.177502238502372e-08,0.9999999699241734,0.999999999996418,5
