step,train/loss,train/num_tasks,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,0.679663489262263,3.0,38.0,74.0,0.5135135135135135,0.0,38.0,0.0,1.0,0.17655373439907351,0.0,0.6,0.0038053,1,1,0.0,,,,,,,,,,
2,0.6810313115517297,3.0,46.0,74.0,0.6216216216216216,1.0,45.0,0.021739130434782608,0.9782608695652174,0.1756227607788227,0.0,0.6,0.0038053,1,2,0.0,,,,,,,,,,
3,0.6849017639954884,3.0,47.0,74.0,0.6351351351351351,0.0,47.0,0.0,1.0,0.17498210398779404,0.0,0.6,0.0038053,1,3,0.0,,,,,,,,,,
4,0.6731698264678319,3.0,43.0,74.0,0.581081081081081,2.0,41.0,0.046511627906976744,0.9534883720930233,0.17392182532058476,0.0,0.6,0.0038053,1,4,0.0,,,,,,,,,,
5,0.6776930491129557,3.0,40.0,74.0,0.5405405405405406,0.0,40.0,0.0,1.0,0.1753873268176073,0.0,0.6,0.0038053,1,5,0.0,,,,,,,,,,
5,,,,,,,,,,,,,,1,,1.0,0.6160076283075439,0.6709564343940034,0.6160076283075439,0.6711298071698987,0.6257299008075176,0.6684633346546196,0.009722272499973705,0.6261393049998165,0.6685747122549599,0.010131676692272662
6,0.6712772250175475,3.0,46.0,74.0,0.6216216216216216,0.0,46.0,0.0,1.0,0.17504872935385912,0.0,0.6,0.0038053,2,1,0.0,,,,,,,,,,
7,0.6779794096946716,3.0,48.0,74.0,0.6486486486486487,0.0,48.0,0.0,1.0,0.1754418855215609,0.0,0.6,0.0038053,2,2,0.0,,,,,,,,,,
8,0.6523560931285222,3.0,42.0,74.0,0.5675675675675675,0.0,42.0,0.0,1.0,0.1744282888834088,0.0,0.6,0.0038053,2,3,0.0,,,,,,,,,,
9,0.6430701563755671,3.0,38.0,74.0,0.5135135135135135,0.0,38.0,0.0,1.0,0.1748368188241107,0.0,0.6,0.0038053,2,4,0.0,,,,,,,,,,
10,0.613081266482671,3.0,27.0,74.0,0.36486486486486486,0.0,27.0,0.0,1.0,0.17486758004506328,0.0,0.6,0.0038053,2,5,0.0,,,,,,,,,,
10,,,,,,,,,,,,,,2,,1.0,0.6160076283075439,0.6637613602374323,0.6160076283075439,0.6636978389299215,0.6257347941909591,0.6590301334082684,0.009727165883415267,0.6252070154531716,0.6593529930972557,0.009199387145627735
11,0.6286894778410592,3.0,32.0,74.0,0.43243243243243246,0.0,32.0,0.0,1.0,0.175430926201783,0.0,0.6,0.0038053,3,1,0.0,,,,,,,,,,
12,0.6958031356334685,3.0,15.0,74.0,0.20270270270270271,0.0,15.0,0.0,1.0,0.1762767083566156,0.0,0.6,0.0038053,3,2,0.0,,,,,,,,,,
13,0.6424358785152435,3.0,20.0,74.0,0.2702702702702703,0.0,20.0,0.0,1.0,0.17520751705872442,0.0,0.6,0.0038053,3,3,0.0,,,,,,,,,,
14,0.6798254052797953,3.0,11.0,74.0,0.14864864864864866,0.0,11.0,0.0,1.0,0.1734041683495482,0.0,0.6,0.0038053,3,4,0.0,,,,,,,,,,
15,0.6240018159151077,3.0,10.0,74.0,0.13513513513513514,0.0,10.0,0.0,1.0,0.17626434926921072,0.0,0.6,0.0038053,3,5,0.0,,,,,,,,,,
15,,,,,,,,,,,,,,3,,1.0,0.6160076283075439,0.6621054923772133,0.6160076283075439,0.6616397164347134,0.625250922569447,0.6564406691897471,0.009243294261903179,0.6259273294958541,0.6558124212008286,0.009919701188310204
16,0.653092140952746,3.0,15.0,74.0,0.20270270270270271,0.0,15.0,0.0,1.0,0.17385538881499843,0.0,0.6,0.0038053,4,1,0.0,,,,,,,,,,
17,0.6909125447273254,3.0,4.0,74.0,0.05405405405405406,0.0,4.0,0.0,1.0,0.17569958820188947,0.0,0.6,0.0038053,4,2,0.0,,,,,,,,,,
18,0.6686943819125493,3.0,10.0,74.0,0.13513513513513514,0.0,10.0,0.0,1.0,0.1736531618852959,0.0,0.6,0.0038053,4,3,0.0,,,,,,,,,,
19,0.7010873953501383,3.0,9.0,74.0,0.12162162162162163,0.0,9.0,0.0,1.0,0.17632179113078872,0.0,0.6,0.0038053,4,4,0.0,,,,,,,,,,
20,0.6854960396885872,3.0,7.0,74.0,0.0945945945945946,0.0,7.0,0.0,1.0,0.17437500705333422,0.0,0.6,0.0038053,4,5,0.0,,,,,,,,,,
20,,,,,,,,,,,,,,4,,1.0,0.6160076283075439,0.6566209078483464,0.6160076283075439,0.656476791559245,0.6256824336547873,0.6513095382428956,0.00967480534724341,0.6260040236145351,0.6511054248660645,0.009996395306991257
21,0.6460534234841665,3.0,9.0,74.0,0.12162162162162163,0.0,9.0,0.0,1.0,0.17580277894879756,0.0,0.6,0.0038053,5,1,0.0,,,,,,,,,,
22,0.6548715929190317,3.0,12.0,74.0,0.16216216216216217,0.0,12.0,0.0,1.0,0.17533893286048005,0.0,0.6,0.0038053,5,2,0.0,,,,,,,,,,
