step,mean,std,var,n
1,0.028494465944261978,0.056988931888523955,0.0032477383577948224,5
2,0.05708528396675021,0.0699150795614135,0.0048881183500787805,5
3,0.056356771282460104,0.06902267434480686,0.004764129573709259,5
4,0.08191326776956698,0.06699607174701863,0.004488473629531669,5
5,0.0,0.0,0.0,5
6,0.028424563957182424,0.05684912791436485,0.0032318233446238165,5
7,0.055857177065827754,0.06841747790130366,0.004680951282375374,5
8,0.0,0.0,0.0,5
9,0.02836036408301811,0.05672072816603622,0.003217241003685374,5
10,0.027646378850866356,0.05529275770173271,0.003057289054262522,5
11,0.08508375769957797,0.06947135378691337,0.004826268996986483,5
12,0.028197254411862428,0.05639450882372486,0.003180340625469181,5
13,0.028209724794499614,0.05641944958899923,0.0031831542919256253,5
14,0.02858152926221507,0.05716305852443014,0.0032676152598674255,5
15,0.11367066283577247,0.056838519948369026,0.0032306173499211436,5
16,0.054547834358167305,0.06686758738375388,0.004471274242523961,5
17,0.0284056009595856,0.0568112019191712,0.0032275126635008416,5
18,0.028214619569053644,0.05642923913810729,0.0031842590297056993,5
19,0.05637396145415892,0.06904865797031677,0.004767717167501789,5
20,0.0,0.0,0.0,5
21,0.0,0.0,0.0,5
22,0.08428987152005137,0.06883687216229188,0.0047385149690877156,5
23,0.028364451450588024,0.05672890290117605,0.0032181684243710604,5
24,0.08418350138150807,0.068740805475552,0.00472529833742768,5
25,0.02857648761529454,0.057152975230589084,0.003266462577708329,5
26,0.02722913210746312,0.05445826421492624,0.0029657025413027164,5
27,0.0,0.0,0.0,5
28,0.028224042137445116,0.05644808427489024,0.0031863862183051104,5
29,0.026226345495165743,0.05245269099033149,0.002751284792127202,5
30,0.08435064370268228,0.06887429216952051,0.004743668121852475,5
31,0.05667675281339661,0.06941459672748478,0.004818386238839341,5
32,0.05641183115616538,0.06909035248479012,0.004773476806472544,5
33,0.02853667301673734,0.05707334603347468,0.0032573668274567397,5
34,0.11184127556831011,0.055951189942901776,0.003130535656026673,5
35,0.05699590324021466,0.06980613076480889,0.0048728958923535985,5
36,0.02757927881920629,0.05515855763841258,0.0030424664807500823,5
37,0.05654338808300804,0.06925710118919906,0.0047965460651309575,5
38,0.028309797328424435,0.05661959465684886,0.0032057784991058685,5
39,0.02858569825018926,0.05717139650037852,0.0032685685778034933,5
40,0.028028923890637332,0.056057847781274664,0.003142482297868561,5
41,0.0,0.0,0.0,5
42,0.05638222912129585,0.06906205552460032,0.004769567513282977,5
43,0.0,0.0,0.0,5
44,0.02766825296870055,0.0553365059374011,0.0030621288893600274,5
45,0.0,0.0,0.0,5
46,0.05681348019512182,0.06958350367411847,0.004841863983566059,5
47,0.056956769793738024,0.06975836856149467,0.004866229984361328,5
48,0.02849629430038127,0.05699258860076254,0.0032481551554157683,5
49,0.08316466859257905,0.06791763682251653,0.004612805391555253,5
50,0.028405688054149374,0.056811376108298756,0.0032275324553185784,5
51,0.02829470639796331,0.05658941279592662,0.0032023616405877837,5
52,0.0,0.0,0.0,5
53,0.0,0.0,0.0,5
54,0.0,0.0,0.0,5
55,0.0,0.0,0.0,5
56,0.056724037793998074,0.06947322223285676,0.004826528607415904,5
57,0.0,0.0,0.0,5
58,0.056896175538437066,0.0696836787726737,0.004855815087293175,5
59,0.028104783251902087,0.056209566503804174,0.0031595153665455846,5
60,0.027106531080089223,0.054213062160178446,0.0029390561087833723,5
61,0.0,0.0,0.0,5
