step,train/loss,train/num_tasks,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,0.679663489262263,3.0,38.0,74.0,0.5135135135135135,0.0,38.0,0.0,1.0,0.17655373439907351,0.0,0.6,0.0038053,1,1,0.0,,,,,,,,,,
2,0.6810313115517297,3.0,46.0,74.0,0.6216216216216216,1.0,45.0,0.021739130434782608,0.9782608695652174,0.1756227607788227,0.0,0.6,0.0038053,1,2,0.0,,,,,,,,,,
3,0.6812994281450907,3.0,47.0,74.0,0.6351351351351351,0.0,47.0,0.0,1.0,0.17557316495041797,0.0,0.6,0.0038053,1,3,0.0,,,,,,,,,,
4,0.6500583092371622,3.0,41.0,74.0,0.5540540540540541,0.0,41.0,0.0,1.0,0.1746697864389518,0.0,0.6,0.0038053,1,4,0.0,,,,,,,,,,
5,0.7007638141512871,3.0,1.0,74.0,0.013513513513513514,0.0,1.0,0.0,1.0,0.17341528503533693,0.0,0.6,0.0038053,1,5,0.0,,,,,,,,,,
5,,,,,,,,,,,,,,1,,1.0,0.6160076283075439,0.6730966242490979,0.6160076283075439,0.67197446271534,0.6257299008075176,0.6646019678955452,0.009722272499973705,0.6261393049998165,0.6633879008482616,0.010131676692272662
6,0.6808243195215862,3.0,10.0,74.0,0.13513513513513514,0.0,10.0,0.0,1.0,0.17431883441426615,0.0,0.6,0.0038053,2,1,0.0,,,,,,,,,,
7,0.6776543855667114,3.0,37.0,74.0,0.5,0.0,37.0,0.0,1.0,0.1757373870248583,0.0,0.6,0.0038053,2,2,0.0,,,,,,,,,,
8,0.6419873088598251,3.0,41.0,74.0,0.5540540540540541,0.0,41.0,0.0,1.0,0.17557306071734435,0.0,0.6,0.0038053,2,3,0.0,,,,,,,,,,
9,0.6428050299485524,3.0,38.0,74.0,0.5135135135135135,0.0,38.0,0.0,1.0,0.1757455358834247,0.0,0.6,0.0038053,2,4,0.0,,,,,,,,,,
10,0.6143347024917603,3.0,28.0,74.0,0.3783783783783784,0.0,28.0,0.0,1.0,0.17545373883968268,0.0,0.6,0.0038053,2,5,0.0,,,,,,,,,,
10,,,,,,,,,,,,,,2,,1.0,0.6160076283075439,0.6582145353297254,0.6160076283075439,0.6581345551744454,0.6257347941909591,0.6533131137851821,0.009727165883415267,0.6252070154531716,0.6535816445850676,0.009199387145627735
11,0.6221109877030054,3.0,36.0,74.0,0.4864864864864865,0.0,36.0,0.0,1.0,0.1751615288420289,0.0,0.6,0.0038053,3,1,0.0,,,,,,,,,,
12,0.6899209519227346,3.0,20.0,74.0,0.2702702702702703,1.0,19.0,0.05,0.95,0.17604721510345223,0.0,0.6,0.0038053,3,2,0.0,,,,,,,,,,
13,0.6333263168732326,3.0,29.0,74.0,0.3918918918918919,0.0,29.0,0.0,1.0,0.17415960204425576,0.0,0.6,0.0038053,3,3,0.0,,,,,,,,,,
14,0.6724773645401001,3.0,11.0,74.0,0.14864864864864866,0.0,11.0,0.0,1.0,0.17505837066242405,0.0,0.6,0.0038053,3,4,0.0,,,,,,,,,,
15,0.6084661756952603,3.0,12.0,74.0,0.16216216216216217,0.0,12.0,0.0,1.0,0.174016816041086,0.0,0.6,0.0038053,3,5,0.0,,,,,,,,,,
15,,,,,,,,,,,,,,3,,1.0,0.6160076283075439,0.6396501904647297,0.6160076283075439,0.6394594080921777,0.625250922569447,0.6323641917449506,0.009243294261903179,0.6259273294958541,0.6318587828431129,0.009919701188310204
16,0.6466364935040474,3.0,3.0,74.0,0.04054054054054054,0.0,3.0,0.0,1.0,0.1746045580320752,0.0,0.6,0.0038053,4,1,0.0,,,,,,,,,,
17,0.6342584192752838,3.0,3.0,74.0,0.04054054054054054,0.0,3.0,0.0,1.0,0.17554394679890786,0.0,0.6,0.0038053,4,2,0.0,,,,,,,,,,
18,0.6299571394920349,3.0,5.0,74.0,0.06756756756756757,0.0,5.0,0.0,1.0,0.1771638472493322,0.0,0.6,0.0038053,4,3,0.0,,,,,,,,,,
19,0.6095378622412682,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,4,4,0.0,,,,,,,,,,
20,0.642811432480812,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,4,5,0.0,,,,,,,,,,
20,,,,,,,,,,,,,,4,,1.0,0.6294658997027445,0.6070208435647075,0.6314862626012131,0.6065137571496255,0.6395867493683136,0.6023157469064654,0.010120849665569143,0.6380072798612124,0.6016625404424694,0.006521017259999318
21,0.6068353702624639,3.0,2.0,74.0,0.02702702702702703,0.0,2.0,0.0,1.0,0.1766971965174925,0.0,0.6,0.0038053,5,1,0.0,,,,,,,,,,
22,0.5872313206394514,3.0,1.0,74.0,0.013513513513513514,0.0,1.0,0.0,1.0,0.17548610722417185,0.0,0.6,0.0038053,5,2,0.0,,,,,,,,,,
